case_id,ea_id,wgt10,urban,regionXurban,total_consumption_food,purchases_food,home_prod_food,gifts_and_other_food,tot_consump_weekly_non_durab,tot_consump_weekly_durab,TOT_consumption,food_percentage,non_durable_percentage,durable_percentage,total_percentage_test,number_adults,total_consumption_capita,total_consumption_food_per_capita,total_consumption_non_durab_per_capita,total_consumption_durab_per_capita,category_quantile
1013000201,1010002,3622.02563476563,0,10,111419.75693290359,111419.75693290359,0,0,47353.07920038498,1574.4881426765028,160347.32427596507,69.48650838796979,29.531568059650418,0.9819235523797932,100,5.1,31440.651818816685,21847.01116331443,9284.917490271566,308.72316523068685,4
1013000204,1010002,3528.3916015625,0,10,55474.90800105335,45639.21678292304,9835.691218130312,0,29618.79755654271,962.1454787568066,86055.85103635286,64.46384218269935,34.418110099254896,1.1180477180457657,100.00000000000001,2.9,29674.431391845814,19129.27862105288,10213.37846777335,331.7743030195885,1
1013000206,1010002,2735.64892578125,1,11,17328.070175438595,17328.070175438595,0,0,59351.578561616916,1061.014916699326,77740.66365375483,22.28958354744076,76.34560315301638,1.364813299542857,100,3,25913.55455125161,5776.023391812865,19783.859520538972,353.67163889977536,1
1021000108,1020001,1350.81335449219,1,11,145925.86114173717,144483.8443350145,0,1442.0168067226891,90352.10967640486,7041.204242723594,243319.17506086561,59.97302148720266,37.13316455795295,2.8938139548443957,100,5.6,43449.85268944029,26058.189489595927,16134.305299358011,1257.3579004863561,4
1021000111,1020001,1405.30773925781,1,11,128360.94980774578,128360.94980774578,0,0,61388.35400532175,8047.123536262372,197796.42734932993,64.89548447760708,31.036128825978874,4.068386696414026,100,7.4,26729.246939098637,17346.074298344025,8295.723514232668,1087.4491265219422,4
1021000113,1020001,746.928955078125,1,11,84806.96000048121,84806.9600004812,0,0,79794.3060397738,7804.516813515342,172405.78285377036,49.19032215549988,46.282847778634576,4.526830065865545,100,6.1,28263.243090782027,13902.78032794774,13081.033777012099,1279.4289858221873,4
1021000201,1020002,4510.3125,1,11,73009.12040949694,73009.12040949694,0,0,53032.12105366224,6529.06337885788,132570.30484201707,55.07200160435726,40.00301660078414,4.924981794858592,100,4.7,28206.447838727036,15533.855406275945,11283.430011417497,1389.1624210335915,3
1021000203,1020002,6022.107421875,1,11,98786.78505435304,98786.78505435304,0,0,36070.65397105777,7804.511326375706,142661.9503517865,69.24536276894938,25.28400451705031,5.470632714000305,100,7.4,19278.641939430607,13349.565547885544,4874.412698791591,1054.6636927534737,3
1021000207,1020002,2386.52319335938,1,11,138938.47467277397,138938.47467277397,0,0,31437.048250504824,6726.700069290542,177102.22299256932,78.45100548433173,17.750792575779148,3.7982019398891302,100,3.4,52088.88911546157,40864.25725669823,9246.190661913184,1978.4411968501595,4
1021000212,1020002,6022.107421875,1,11,110102.70180407261,110102.70180407261,0,0,39639.53151873379,6736.056675817009,156478.28999862343,70.3629249815046,25.33228828042696,4.304786738068436,100,5.3,29524.20566011763,20774.094680013703,7479.156890327131,1270.9540897767943,4
1021000213,1020002,4965.599609375,1,11,161652.002283175,161652.002283175,0,0,56913.93438438647,7371.750539910626,225937.6872074721,71.54716164494266,25.190102230321603,3.2627361247357367,100,9,25104.1874674969,17961.333587019446,6323.770487154052,819.0833933234029,4
1021000312,1020003,1870.91235351563,1,11,82925.58464494316,75820.06886281063,0,7105.515782132525,53032.12105366224,8651.117732834855,144608.82343144025,57.34476132036202,36.67281137848758,5.9824273011503974,100,2,72304.41171572013,41462.79232247158,26516.06052683112,4325.5588664174275,3
1021000313,1020003,3745.5546875,1,11,31854.35308141264,31854.35308141264,0,0,28772.311675430996,441.76533119570513,61068.43008803934,52.161735671753455,47.11487037402366,0.7233939542228839,100,1,61068.43008803934,31854.35308141264,28772.311675430996,441.76533119570513,1
1021000401,1020004,3850.17041015625,1,11,1796.2775889560255,1796.2775889560255,0,0,35329.75148377293,1116.4432649414985,38242.47233767046,4.697074951366614,92.3835445883859,2.9193804602474787,100,1,38242.47233767046,1796.2775889560255,35329.75148377293,1116.4432649414985,1
1021000402,1020004,1809.169921875,1,11,70070.31315633802,70070.31315633802,0,0,37633.57907642042,2076.644635963717,109780.53686872215,63.82762842572865,34.28073878106776,1.8916327932036003,99.99999999999999,3.4,32288.393196682984,20608.915634217065,11068.699728358948,610.7778341069757,2
1021000405,1020004,6022.107421875,1,11,60729.88867395603,60729.88867395603,0,0,41059.900155731375,2015.887236824778,103805.67606651218,58.50343736025005,39.554580935846666,1.9419817039032852,100,2.6,39925.26002558161,23357.64948998309,15792.269290665912,775.3412449326069,2
1021000503,1020005,1941.12170410156,1,11,52881.96295611777,52881.96295611777,0,0,26422.599880975988,1177.0668961002432,80481.629733194,65.70687389336878,32.83059745257395,1.4625286540572766,100,1.9,42358.75249115474,27832.61208216725,13906.631516303152,619.5088926843385,1
1021000504,1020005,532.312927246094,1,11,81666.88068359133,77134.70097648907,0,4532.179707102258,17003.087316803125,5130.086681738637,103800.0546821331,78.67710757347847,16.3806149899166,4.942277436604924,99.99999999999999,2.8,37071.44810076182,29166.74310128262,6072.531184572545,1832.1738149066562,2
1021000506,1020005,532.312927246094,1,11,79089.23209845107,73795.48209845107,0,5293.75,49289.490689349266,6847.365836614492,135226.0886244148,58.486666961223975,36.449690433810375,5.06364260496566,100,3.1,43621.31891110155,25512.655515629376,15899.835706241698,2208.827689230481,3
