case_id,ea_id,wgt11,urban,regionXurban,total_consumption_food,purchases,home_prod,gifts_and_other,perc_tot,perc_purch,perc_home_prod,perc_gift_and_other,test
1013000201,10130002,1329.5159912109375,0,10,62062.99808668991,25174.0742291275,0,36888.92385756242,1,0.40562130424257337,0,0.5943786957574266,1
1013000204,10130002,2659.031982421875,0,10,50002.85741537776,30331.47497911713,19671.382436260625,0,1,0.6065948337142242,0.3934051662857758,0,1
1013000206,10130002,891.62249755859375,0,10,67802.52654184456,67802.52654184456,0,0,1,1,0,0,1
1021000108,10210001,976.03643798828125,1,11,71006.96624962513,71006.96624962511,0,0,1,0.9999999999999998,0,0,0.9999999999999998
1021000111,10210001,478.2242736816406,1,11,201547.10807125058,201547.10807125058,0,0,1,1,0,0,1
1021000113,10210001,265.7405700683594,1,11,112919.24229273575,112919.24229273575,0,0,1,1,0,0,1
1021000201,10210002,1604.7392578125,1,11,68603.95354285857,68603.95354285857,0,0,1,1,0,0,1
1021000203,10210002,5807.35888671875,1,11,95189.1960266116,95189.1960266116,0,0,1,1,0,0,1
1021000207,10210002,774.28118896484375,1,11,119533.33169585618,119533.33169585618,0,0,1,1,0,0,1
1021000212,10210002,3229.330322265625,1,11,93385.88213898499,80941.43769454055,0,12444.444444444443,1,0.8667416941468354,0,0.13325830585316462,1
1021000213,10210002,1780.902099609375,1,11,86703.51472312999,86703.51472312999,0,0,1,1,0,0,1
1021000312,10210003,815.8468017578125,1,11,91417.44311650148,91417.44311650148,0,0,1,1,0,0,1
1021000313,10210003,3074.760986328125,1,11,53676.438928827556,53676.438928827556,0,0,1,1,0,0,1
1021000401,10210004,2595.420166015625,1,11,3713.157894736842,3713.157894736842,0,0,1,1,0,0,1
1021000402,10210004,648.85504150390625,1,11,70080.64295139012,70080.64295139012,0,0,1,1,0,0,1
1021000405,10210004,4758.2705078125,1,11,70507.83216155166,58141.97850301507,12365.853658536585,0,1,0.8246173044974177,0.17538269550258218,0,0.9999999999999998
1021000503,10210005,654.26025390625,1,11,25603.60030309361,25603.60030309361,0,0,1,1,0,0,1
1021000504,10210005,366.49267578125,1,11,41097.189120408235,41097.189120408235,0,0,1,1,0,0,1
1021000506,10210005,732.9853515625,1,11,92668.94713393108,92668.9471339311,0,0,1,1.0000000000000002,0,0,1.0000000000000002
1021000604,10210006,802.794677734375,1,11,98574.88201956234,98574.88201956234,0,0,1,1,0,0,1
1021000607,10210006,567.7467041015625,1,11,94571.83260514433,94571.83260514433,0,0,1,1,0,0,1
1021000610,10210006,282.7587585449219,1,11,55305.87579852337,55305.87579852337,0,0,1,1,0,0,1
1021000612,10210006,659.78961181640625,1,11,97747.41995949182,97747.41995949182,0,0,1,1,0,0,1
1021000701,10210007,409.25579833984375,1,11,280505.08040621434,258741.0354623941,0,21764.044943820227,1,0.9224112272323105,0,0.07758877276768947,1
