case_id,ea_id,wgt10,urban,regionXurban,total_consumption_food,purchases_food,home_prod_food,gifts_and_other_food,perc_tot,perc_purch,perc_home_prod,perc_gift_and_other,test
1013000201,1010002,3622.02563476563,0,10,111419.75693290359,111419.75693290359,0,0,1,1,0,0,1
1013000204,1010002,3528.3916015625,0,10,55474.90800105335,45639.21678292304,9835.691218130312,0,1,0.8227001797291209,0.1772998202708791,0,1
1013000206,1010002,2735.64892578125,1,11,17328.070175438595,17328.070175438595,0,0,1,1,0,0,1
1021000108,1020001,1350.81335449219,1,11,145925.86114173717,144483.8443350145,0,1442.0168067226891,1,0.9901181545516319,0,0.009881845448368225,1
1021000111,1020001,1405.30773925781,1,11,128360.94980774578,128360.94980774578,0,0,1,1,0,0,1
1021000113,1020001,746.928955078125,1,11,84806.96000048121,84806.9600004812,0,0,1,0.9999999999999998,0,0,0.9999999999999998
1021000201,1020002,4510.3125,1,11,73009.12040949694,73009.12040949694,0,0,1,1,0,0,1
1021000203,1020002,6022.107421875,1,11,98786.78505435304,98786.78505435304,0,0,1,1,0,0,1
1021000207,1020002,2386.52319335938,1,11,138938.47467277397,138938.47467277397,0,0,1,1,0,0,1
1021000212,1020002,6022.107421875,1,11,110102.70180407261,110102.70180407261,0,0,1,1,0,0,1
1021000213,1020002,4965.599609375,1,11,161652.002283175,161652.002283175,0,0,1,1,0,0,1
1021000312,1020003,1870.91235351563,1,11,82925.58464494316,75820.06886281063,0,7105.515782132525,1,0.9143145530712177,0,0.08568544692878234,1
1021000313,1020003,3745.5546875,1,11,31854.35308141264,31854.35308141264,0,0,1,1,0,0,1
1021000401,1020004,3850.17041015625,1,11,1796.2775889560255,1796.2775889560255,0,0,1,1,0,0,1
1021000402,1020004,1809.169921875,1,11,70070.31315633802,70070.31315633802,0,0,1,1,0,0,1
1021000405,1020004,6022.107421875,1,11,60729.88867395603,60729.88867395603,0,0,1,1,0,0,1
1021000503,1020005,1941.12170410156,1,11,52881.96295611777,52881.96295611777,0,0,1,1,0,0,1
1021000504,1020005,532.312927246094,1,11,81666.88068359133,77134.70097648907,0,4532.179707102258,1,0.9445040673873457,0,0.05549593261265424,1
1021000506,1020005,532.312927246094,1,11,79089.23209845107,73795.48209845107,0,5293.75,1,0.9330661095127301,0,0.06693389048726996,1
1021000604,1020006,1198.74084472656,1,11,39902.99021326408,39902.99021326408,0,0,1,1,0,0,1
1021000607,1020006,1684.44506835938,1,11,161664.51101543696,161664.51101543696,0,0,1,1,0,0,1
1021000610,1020006,706.520263671875,1,11,115961.73817437922,115961.73817437922,0,0,1,1,0,0,1
1021000612,1020006,980.984252929688,1,11,414681.21582895325,404395.72919256403,0,10285.486636389212,1,0.9751966420378401,0,0.02480335796215989,1
1021000701,1020007,1227.20202636719,1,11,624623.9789660891,623406.3927591925,0,1217.5862068965519,1,0.9980506892980445,0,0.0019493107019553837,0.9999999999999999
1021000702,1020007,819.294372558594,1,11,97676.00198222592,97676.00198222592,0,0,1,1,0,0,1
1021000703,1020007,1967.37316894531,1,11,43598.09783035343,43598.09783035343,0,0,1,1,0,0,1
1021000705,1020007,1164.33569335938,1,11,54155.811604412855,54155.811604412855,0,0,1,1,0,0,1
1021000710,1020007,1033.99523925781,1,11,197757.49773827093,197757.49773827093,0,0,1,1,0,0,1
1021000711,1020007,1407.00939941406,1,11,157602.33336763404,155597.2590302068,0,2005.0743374272786,1,0.9872776354601929,0,0.012722364539807315,1.0000000000000002
1021000805,1020008,2857.29248046875,1,11,88329.65183672523,88329.65183672523,0,0,1,1,0,0,1
1021000811,1020008,1060.20922851563,1,11,79047.45552301807,79047.45552301807,0,0,1,1,0,0,1
1021000906,1020009,1739.49560546875,1,11,81307.24159091851,81307.24159091851,0,0,1,1,0,0,1
1021001003,1020010,936.542236328125,1,11,218506.9324215203,176235.20561543806,0,42271.72680608225,1,0.8065428573014969,0,0.19345714269850323,1
1021001004,1020010,2741.14916992188,1,11,44468.71103544836,44468.71103544836,0,0,1,1,0,0,1
1021001007,1020010,2301.77685546875,1,11,136638.71378285758,136638.71378285758,0,0,1,1,0,0,1
1021001011,1020010,4196.806640625,1,11,39590.089681839236,30851.759915139,7911.111111111111,827.2186555891238,1,0.7792798693580963,0.19982554156072285,0.020894589081180727,0.9999999999999999
1021001102,1020011,2421.603515625,1,11,3713.157894736842,3713.157894736842,0,0,1,1,0,0,1
1021001105,1020011,1576.47521972656,1,11,13209.534883720931,13209.534883720931,0,0,1,1,0,0,1
1021001107,1020011,837.905456542969,1,11,164510.11509322835,162365.56171632203,2144.553376906318,0,1,0.986964002938719,0.013035997061280965,0,1
1021001109,1020011,465.642181396484,1,11,74788.0558454086,72242.94714975642,0,2545.108695652174,1,0.9659690485749078,0,0.03403095142509208,0.9999999999999999
1021001110,1020011,537.691589355469,1,11,69189.82799230427,69189.82799230427,0,0,1,1,0,0,1
1021001202,1020012,1375.67321777344,1,11,0,0,0,0,NA,NA,NA,NA,NA
1021001205,1020012,1405.46020507813,1,11,40722.536814041465,40722.536814041465,0,0,1,1,0,0,1
1021001206,1020012,2359.318359375,1,11,64363.63715661975,64363.63715661975,0,0,1,1,0,0,1
1021001208,1020012,1179.6591796875,1,11,96392.51503596499,94885.94360739356,0,1506.5714285714287,1,0.9843704521247391,0,0.015629547875260982,1
1021001210,1020012,902.15283203125,1,11,61607.616077529136,61607.616077529136,0,0,1,1,0,0,1
1021001211,1020012,1903.62219238281,1,11,47267.625289481824,47267.625289481824,0,0,1,1,0,0,1
