case_id,ea_id,wgt09,urban,regionXurban,total_consumption_food,purchases,home_prod,gifts_and_other,tot_consump_weekly_non_durab,tot_consump_weekly_durab,TOT_consumption,food_percentage,non_durable_percentage,durable_percentage,total_percentage_test,number_adults,total_consumption_capita,total_consumption_food_per_capita,total_consumption_non_durab_per_capita,total_consumption_durab_per_capita,category_quantile
1013000201,1010002,3205.63134765625,0,10,44503.76308514047,44503.76308514047,0,0,42458.89865796457,0,86962.66174310504,51.175714028404855,48.824285971595145,0,100,4.1,21210.405303196352,10854.576362229383,10355.828940966969,0,2
1013000204,1010002,3205.63134765625,0,10,56107.24929116438,46748.05333078372,9359.195960380655,0,36627.13788084198,0,92734.38717200636,60.503175792918185,39.496824207081815,0,100.00000000000001,2.9,31977.374886898746,19347.32734178082,12630.047545117926,0,2
1013000206,NA,2091.03662109375,1,1,35106.703695999786,35106.703695999786,0,0,96412.05629409829,0,131518.75999009807,26.693304969300907,73.30669503069909,0,100,1,131518.75999009807,35106.703695999786,96412.05629409829,0,3
1021000108,1020001,1273.73571777344,1,1,105819.6422918296,100408.90544972435,0,5410.736842105263,57946.773541774965,0,163766.41583360458,64.61620458210919,35.383795417890795,0,100,5.6,29244.00282742939,18896.364694969572,10347.638132459815,0,4
1021000111,1020001,1206.75598144531,1,1,215928.65915338704,215928.65915338704,0,0,85949.34533997322,0,301878.0044933603,71.52845054603384,28.47154945396615,0,100,8.7,34698.62120613337,24819.38610958472,9879.235096548648,0,4
1021000113,1020001,690.195068359375,1,1,263110.12117661675,242908.83328766038,2435.1724137931037,17766.115475163275,56480.243804419086,0,319590.3649810358,82.32730082217262,17.672699177827393,0,100,6.5,49167.748458620896,40478.48018101796,8689.268277602936,0,4
1021000201,1020002,3785.56713867188,1,1,173976.24050138213,173976.24050138213,0,0,58558.99022987396,0,232535.23073125607,74.81715349294691,25.18284650705309,0,100,3.8,61193.48177138318,45783.22118457425,15410.260586808938,0,4
1021000203,1020002,6282.59423828125,1,1,64064.31554613025,64064.31554613025,0,0,33804.200628121915,302.0285925958927,98170.54476684806,65.25818482344269,34.43415813613525,0.30765704042205433,100,6.8,14436.844818654128,9421.22287443092,4971.205974723811,44.415969499395985,2
1021000207,1020002,2269.552734375,1,1,136554.51352432257,136554.51352432254,0,0,51535.282083765145,0,188089.7956080877,72.6007028094462,27.399297190553792,0,100,3.4,55320.528120025796,40163.09221303605,15157.43590698975,0,4
1021000212,1020002,7004.5390625,1,1,141576.9766041792,120002.2990448454,0,21574.6775593338,43687.07880749955,0,185264.05541167874,76.41902056477082,23.580979435229175,0,100,3.3,56140.622852023866,42902.114122478546,13238.50872954532,0,4
1021000213,1020002,3968.14770507813,1,1,166912.97518551289,166912.97518551289,0,0,108575.75031358279,0,275488.7254990957,60.58795142455323,39.41204857544677,0,100,9,30609.85838878841,18545.886131723655,12063.972257064754,0,4
1021000312,1020003,1834.88891601563,1,1,65059.74380528457,65059.74380528457,0,0,48628.96849740283,1314.9811176553437,115003.69342034274,56.57187336365694,42.28470151794356,1.143425118399493,99.99999999999999,2,57501.84671017137,32529.871902642284,24314.484248701414,657.4905588276719,3
1021000313,1020003,2812.9482421875,1,1,74234.65655664586,74234.65655664586,0,0,28025.70021481259,541.0156736630236,102801.37244512147,72.2117368581578,27.26199032972402,0.526272812118179,100,1,102801.37244512147,74234.65655664586,28025.70021481259,541.0156736630236,2
1021000401,1020004,2891.51538085938,1,1,29715.92108754349,29715.92108754349,0,0,32444.50103081267,0,62160.42211835616,47.8052112177795,52.19478878222049,0,100,1,62160.42211835616,29715.92108754349,32444.50103081267,0,1
1021000402,1020004,721.86376953125,1,1,77227.52596018997,77227.52596018997,0,0,76684.69119068033,0,153912.2171508703,50.176345575276045,49.823654424723955,0,100,3,51304.07238362343,25742.508653396657,25561.563730226775,0,4
1021000405,1020004,5301.111328125,1,1,86381.81291796065,86381.81291796065,0,0,33523.50144151288,0,119905.31435947353,72.04168837670517,27.95831162329482,0,100,2.3,52132.74537368415,37557.30996433072,14575.435409353428,0,3
1021000503,1020005,1457.80126953125,1,1,100966.07045748224,65101.40889082261,0,35864.66156665963,43776.16794576433,3241.7193869301227,147983.9577901767,68.22771330432984,29.58169831343045,2.190588382239707,100,0.6,246639.9296502945,168276.78409580374,72960.27990960723,5402.865644883538,4
1021000504,1020005,769.357604980469,1,1,95160.03210466969,87380.68772928968,0,7779.344375380011,47604.9730036457,960.4542430308605,143725.45935134625,66.20958634200278,33.1221574928296,0.6682561651676253,100,2.8,51330.52119690938,33985.72575166775,17001.77607273061,343.01937251102163,3
1021000506,1020005,769.357604980469,1,1,141361.0450593068,141361.0450593068,0,0,42842.512775004885,0,184203.55783431168,76.74175608836987,23.258243911630135,0,100,3.1,59420.50252719731,45600.33711590542,13820.165411291899,0,4
1021000604,1020006,1158.984375,1,1,75324.04354031947,75324.04354031947,0,0,53483.897917026,0,128807.94145734547,58.47779468260728,41.52220531739272,0,100,5.4,23853.32249210101,13948.896951911012,9904.425540189999,0,3
1021000607,1020006,1265.03454589844,1,1,125391.89569960527,125391.89569960527,0,0,91131.07476584321,628.1884895748626,217151.15895502333,57.74406008377631,41.966653645499726,0.2892862707239679,100,10.4,20879.919130290706,12056.913048038969,8762.60334286954,60.40273938219833,4
1021000610,1020006,667.624572753906,1,1,96806.80896063794,96806.80896063794,0,0,59550.238896541145,0,156357.04785717907,61.91394010525448,38.086059894745524,0,100,6.4,24430.78872768423,15126.063900099676,9304.724827584554,0,4
1021000612,1020006,825.183349609375,1,1,241210.1467122921,241210.1467122921,0,0,57366.39649196704,0,298576.5432042591,80.7867035111589,19.213296488841095,0,100,8,37322.06790053239,30151.268339036513,7170.79956149588,0,4
1021000701,1020007,920.441162109375,1,1,335004.09494435904,335004.09494435904,0,0,130361.49797433405,2907.762397748179,468273.3553164413,71.54028542110325,27.83876052188379,0.620954057012965,100,3.7,126560.36630174088,90541.64728225919,35232.837290360556,785.8817291211294,5
1021000702,1020007,807.049865722656,1,1,144848.7675175847,140165.15169837564,4683.61581920904,0,38418.854225185925,0,183267.62174277063,79.03674753901178,20.96325246098821,0,100,2.4,76361.50905948777,60353.65313232696,16007.855927160803,0,4
1021000703,NA,3880.43701171875,1,1,38461.45236469504,38461.45236469504,0,0,48255.43803951336,519.9992430363025,87236.88964724471,44.088518653312406,55.31540410787383,0.5960772388137592,99.99999999999999,3,29078.963215748237,12820.484121565014,16085.146013171121,173.33308101210082,2
1021000705,1020007,1411.06799316406,1,1,54270.902792232664,54270.902792232664,0,0,41940.94992225633,635.6046772530377,96847.45739174203,56.037509144623364,43.30619620978562,0.6562946455910099,100,2,48423.72869587102,27135.451396116332,20970.474961128166,317.80233862651886,2
1021000710,1020007,1411.06799316406,1,1,368628.30933270237,321914.39180692914,0,46713.9175257732,98183.93649954304,0,466812.2458322454,78.9671463471362,21.032853652863817,0,100.00000000000001,11.4,40948.44261686363,32335.816608131787,8612.626008731844,0,5
1021000711,1020007,1409.08666992188,1,1,96226.05339757423,96226.05339757423,0,0,53949.39501266188,0,150175.4484102361,64.0757556686046,35.92424433139541,0,100,3.4,44169.249532422386,28301.780411051244,15867.469121371141,0,4
1021000805,1020008,2143.06176757813,1,1,2475.438596491228,2475.438596491228,0,0,34316.80261936159,0,36792.24121585282,6.728153857136124,93.27184614286388,0,100,2.3,15996.626615588182,1076.2776506483601,14920.348964939822,0,1
1021000811,1020008,1003.32250976563,1,1,134957.86388251648,134957.86388251648,0,0,60751.505143807044,0,195709.36902632352,68.95830514090729,31.041694859092708,0,100,3.1,63132.054524620486,43534.79480081177,19597.259723808722,0,4
1021000906,NA,906.749938964844,1,1,118348.8139627972,118348.8139627972,0,0,73702.19637861096,0,192051.01034140814,61.62363517505537,38.376364824944645,0,100,2,96025.50517070407,59174.4069813986,36851.09818930548,0,4
1021001003,1020010,831.695739746094,1,1,92550.83743092376,92550.83743092376,0,0,44977.97778713776,0,137528.8152180615,67.29559713299207,32.70440286700794,0,100,4,34382.203804515375,23137.70935773094,11244.49444678444,0,3
1021001004,1020010,2055.9501953125,1,1,102016.05216644942,101204.32802851837,0,811.7241379310345,29333.27301329426,0,131349.32517974367,77.66773984323602,22.332260156763986,0,100,2.7,48647.89821471988,37783.723024610896,10864.175190108985,0,3
1021001007,1020010,1663.39147949219,1,1,91295.26716840366,91295.26716840366,0,0,43983.14181101339,0,135278.40897941706,67.486946259321,32.513053740679,0,100,3.4,39787.76734688737,26851.54916717755,12936.21817970982,0,3
