id_hh,wgt09,comm,urban,regurb
1021002509,425.737457275391,1020025,1,1
1021002512,806.699768066406,1020025,1,1
1021002601,523.300415039063,1020026,1,1
1021002603,1659.3671875,1020026,1,1
1021002604,1048.07250976563,1020026,1,1
1021002605,499.924530029297,1020026,1,1
1021002606,1659.3671875,1020026,1,1
1021002608,1106.24487304688,1020026,1,1
1021002610,1367.31750488281,1020026,1,1
1021002611,1367.31750488281,1020026,1,1
1021002613,1198.87451171875,1020026,1,1
1021002702,583.495178222656,1020027,1,1
1021002703,552.03564453125,1020027,1,1
1021002704,1105.62365722656,1020027,1,1
1021002705,1442.39904785156,1020027,1,1
1021002708,1105.62365722656,1020027,1,1
1021002710,1166.99035644531,1020027,1,1
1021002711,1105.62365722656,1020027,1,1
1021002801,2795.44848632813,1020028,1,1
1021002802,1823.47387695313,1020028,1,1
1021002803,5590.89697265625,1020028,1,1
1021002804,2795.44848632813,1020028,1,1
1021002805,1823.47387695313,1020028,1,1
1021002807,3197.671875,1020028,1,1
1021002810,2795.44848632813,1020028,1,1
1021002901,302.079223632813,1020029,1,1
1021002903,302.079223632813,1020029,1,1
1021002905,302.079223632813,1020029,1,1
1021002906,302.079223632813,1020029,1,1
1021002910,302.079223632813,1020029,1,1
1021003003,1358.19140625,1020030,1,1
1021003004,2716.3828125,1020030,1,1
1021003103,1652.92565917969,1020031,1,1
1021003104,2835.08837890625,1020031,1,1
1021003109,1890.75708007813,1020031,1,1
1021003110,1652.92565917969,1020031,1,1
1021003201,2209.591796875,1020032,1,1
1021003203,5040.08349609375,1020032,1,1
1021003205,3863.31103515625,1020032,1,1
1021003301,807.173095703125,1020033,1,1
1021003308,2822.56689453125,1020033,1,1
1021003309,1411.28344726563,1020033,1,1
1021003403,1272.18798828125,1020034,1,1
1021003404,1659.69921875,1020034,1,1
1021003407,635.200805664063,1020034,1,1
1021003411,635.200805664063,1020034,1,1
1021003412,671.399841308594,1020034,1,1
1021003415,635.200805664063,1020034,1,1
1033000301,1237.41711425781,1030003,0,10
1033000302,921.17626953125,1030003,0,10
1033000303,991.080383300781,1030003,0,10
