id_hh,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5
1021000405,102100040503,1,3,2,NA,3,1,1
102100040502,1021000405030,0,5,18,3,5,2,1
102100040504,1021000405040,1,3,5,NA,5,2,1
102100040504,10210004050401,0,1,33,2,5,2,1
102100040504,10210004050403,0,3,3,NA,5,2,1
102100040504,10210004050404,0,5,NA,NA,5,2,1
102100040504,10210004050405,1,5,NA,NA,5,2,1
1021000406,102100040601,1,1,34,1,5,3,1
1021000406,102100040602,0,2,29,1,5,3,1
1021000406,102100040603,1,3,11,3,5,3,1
1021000406,102100040604,1,3,9,NA,5,3,1
1021000406,102100040605,0,3,4,NA,5,3,1
102100040606,1021000406060,1,4,10,3,2,1,0
102100040606,10210004060601,0,1,53,2,2,1,0
1021000408,102100040801,0,1,60,2,8,2,0
1021000408,102100040802,1,3,35,3,8,2,0
1021000408,102100040803,0,3,24,3,8,2,0
1021000408,102100040804,1,3,32,3,8,2,0
1021000408,102100040805,1,3,11,3,8,2,0
1021000408,102100040806,1,4,9,NA,8,2,0
1021000408,102100040807,0,4,NA,NA,8,2,0
1021000408,102100040808,1,3,NA,NA,8,2,0
1021000409,102100040901,1,1,59,1,11,5,1
1021000409,102100040902,1,3,20,3,11,5,1
1021000409,102100040903,0,5,26,2,11,5,1
1021000409,102100040904,0,3,20,3,11,5,1
1021000409,102100040905,0,2,49,1,11,5,1
1021000409,102100040906,0,3,18,3,11,5,1
1021000409,102100040907,0,3,13,3,11,5,1
1021000409,102100040908,1,3,10,3,11,5,1
1021000409,102100040909,1,3,6,NA,11,5,1
1021000409,102100040910,1,4,6,NA,11,5,1
1021000409,102100040911,0,4,3,NA,11,5,1
1021000412,102100041201,0,1,30,1,5,3,2
1021000412,102100041202,0,5,7,NA,5,3,2
1021000412,102100041203,0,3,3,NA,5,3,2
1021000412,102100041204,0,3,0,NA,5,3,2
1021000412,102100041205,1,2,32,1,5,3,2
1021000501,102100050101,1,1,38,2,1,0,0
1021000503,102100050301,0,1,76,2,2,0,0
1021000503,102100050302,0,3,NA,NA,2,0,0
1021000504,102100050401,0,1,37,2,6,2,0
1021000504,102100050402,0,3,14,3,6,2,0
1021000504,102100050403,1,3,16,3,6,2,0
1021000504,102100050404,0,3,8,NA,6,2,0
1021000504,102100050405,0,5,NA,NA,6,2,0
1021000504,102100050406,1,3,NA,NA,6,2,0
1021000506,102100050601,1,1,45,1,6,3,0
1021000506,102100050602,0,2,31,1,6,3,0
1021000506,102100050603,1,3,13,3,6,3,0
1021000506,102100050604,1,3,10,3,6,3,0
1021000506,102100050605,1,3,5,NA,6,3,0
1021000506,102100050606,1,5,NA,NA,6,3,0
1021000604,102100060401,1,1,43,1,8,4,1
1021000604,102100060402,0,3,43,1,8,4,1
1021000604,102100060403,1,3,19,3,8,4,1
1021000604,102100060404,0,3,15,3,8,4,1
1021000604,102100060405,1,3,13,3,8,4,1
1021000604,102100060406,0,3,10,3,8,4,1
1021000604,102100060407,1,3,6,NA,8,4,1
1021000604,102100060408,1,3,3,NA,8,4,1
1021000607,102100060701,0,1,48,1,11,1,0
1021000607,102100060702,1,3,25,3,11,1,0
1021000607,102100060703,0,3,27,3,11,1,0
1021000607,102100060704,1,3,23,3,11,1,0
1021000607,102100060705,0,5,28,3,11,1,0
1021000607,102100060706,0,5,21,3,11,1,0
1021000607,102100060707,0,3,21,3,11,1,0
1021000607,102100060708,0,5,27,3,11,1,0
1021000607,102100060709,1,5,21,3,11,1,0
1021000607,102100060710,1,4,12,3,11,1,0
1021000607,102100060711,0,5,21,3,11,1,0
1021000608,102100060801,1,1,25,1,4,2,2
1021000608,102100060802,0,2,20,1,4,2,2
1021000608,102100060803,0,3,3,NA,4,2,2
1021000608,102100060804,0,3,0,NA,4,2,2
1021000610,102100061001,1,1,49,1,8,1,0
1021000610,102100061002,0,2,45,1,8,1,0
1021000610,102100061003,0,3,21,3,8,1,0
1021000610,102100061004,0,3,19,3,8,1,0
1021000610,102100061005,0,3,15,3,8,1,0
1021000610,102100061006,1,3,15,3,8,1,0
1021000610,102100061007,0,4,9,NA,8,1,0
1021000610,102100061008,0,4,NA,NA,8,1,0
1021000612,102100061201,1,1,58,1,8,0,0
1021000612,102100061202,0,2,42,1,8,0,0
1021000612,102100061203,0,3,26,3,8,0,0
1021000612,102100061204,0,3,24,3,8,0,0
1021000612,102100061205,0,3,21,3,8,0,0
1021000612,102100061206,1,3,18,3,8,0,0
1021000612,102100061207,0,5,21,3,8,0,0
1021000612,102100061208,0,5,21,3,8,0,0
1021000701,102100070101,1,1,30,1,6,2,1
1021000701,102100070102,0,2,27,1,6,2,1
1021000701,102100070103,1,3,1,NA,6,2,1
1021000701,102100070104,0,5,46,2,6,2,1
1021000701,102100070105,0,5,14,3,6,2,1
1021000701,102100070106,1,5,NA,NA,6,2,1
1021000702,102100070201,1,1,52,1,5,1,0
1021000702,102100070202,0,2,40,1,5,1,0
1021000702,102100070203,1,3,7,NA,5,1,0
1021000702,102100070204,0,3,NA,NA,5,1,0
1021000702,102100070205,0,4,NA,NA,5,1,0
1021000703,102100070301,0,1,47,2,4,0,0
1021000703,102100070302,0,3,21,3,4,0,0
102100070302,1021000703020,0,1,24,1,2,1,1
102100070302,10210007030202,0,3,0,NA,2,1,1
1021000703,102100070303,1,3,19,3,4,0,0
1021000703,102100070304,0,3,NA,NA,4,0,0
1021000705,102100070501,1,1,26,1,2,0,0
1021000705,102100070502,0,2,18,1,2,0,0
1021000709,102100070901,1,1,41,1,9,7,1
1021000709,102100070902,0,2,28,1,9,7,1
1021000709,102100070903,0,5,14,3,9,7,1
1021000709,102100070904,0,3,13,3,9,7,1
1021000709,102100070905,1,3,12,3,9,7,1
1021000709,102100070906,1,3,10,3,9,7,1
1021000709,102100070907,1,3,7,NA,9,7,1
1021000709,102100070908,1,3,6,NA,9,7,1
1021000709,102100070909,0,3,2,NA,9,7,1
1021000710,102100071001,0,1,53,1,13,2,0
1021000710,102100071002,1,3,30,3,13,2,0
1021000710,102100071003,1,5,29,3,13,2,0
1021000710,102100071004,0,3,30,3,13,2,0
1021000710,102100071005,0,3,25,3,13,2,0
1021000710,102100071006,1,3,20,3,13,2,0
1021000710,102100071007,0,3,15,3,13,2,0
1021000710,102100071008,1,5,28,3,13,2,0
1021000710,102100071009,1,5,67,3,13,2,0
1021000710,102100071010,0,4,11,3,13,2,0
1021000710,102100071011,1,4,12,3,13,2,0
1021000710,102100071012,0,5,27,3,13,2,0
1021000710,102100071013,1,5,28,3,13,2,0
1021000711,102100071101,1,1,36,1,6,4,1
1021000711,102100071102,0,2,32,1,6,4,1
1021000711,102100071103,1,3,14,3,6,4,1
1021000711,102100071104,0,3,10,3,6,4,1
1021000711,102100071105,1,3,5,NA,6,4,1
1021000711,102100071106,1,3,0,NA,6,4,1
1021000802,102100080201,1,1,24,1,2,0,0
1021000802,102100080202,0,2,28,1,2,0,0
1021000803,102100080301,1,1,30,3,1,0,0
1021000805,102100080501,1,1,22,1,3,1,1
1021000805,102100080502,0,2,18,1,3,1,1
1021000805,102100080503,1,3,1,NA,3,1,1
