case_id,ea_id,wgt10,urban,regionXurban,total_consumption_monthly,total_consumption_weekly
1013000201,1010002,3622.02563476563,0,10,205760.39915852243,47353.07920038498
1013000204,1010002,3528.3916015625,0,10,128700.72465699655,29618.79755654271
1013000206,1010002,2735.64892578125,1,11,257896.73452592318,59351.578561616916
1021000108,1020001,1350.81335449219,1,11,392601.42034608213,90352.10967640486
1021000111,1020001,1405.30773925781,1,11,266747.0085813763,61388.35400532175
1021000113,1020001,746.928955078125,1,11,346725.25078765466,79794.3060397738
1021000201,1020002,4510.3125,1,11,230437.1876229732,53032.12105366224
1021000203,1020002,6022.107421875,1,11,156735.57631989114,36070.65397105777
1021000207,1020002,2386.52319335938,1,11,136601.45666592708,31437.048250504824
1021000212,1020002,6022.107421875,1,11,172243.1986573998,39639.53151873379
1021000213,1020002,4965.599609375,1,11,247304.5904165427,56913.93438438647
1021000312,1020003,1870.91235351563,1,11,230437.1876229732,53032.12105366224
1021000313,1020003,3745.5546875,1,11,125022.54203992644,28772.311675430996
1021000401,1020004,3850.17041015625,1,11,153516.17867784653,35329.75148377293
1021000402,1020004,1809.169921875,1,11,163526.85787886693,37633.57907642042
1021000405,1020004,6022.107421875,1,11,178415.03843288988,41059.900155731375
1021000503,1020005,1941.12170410156,1,11,114812.48506161234,26422.599880975988
1021000504,1020005,532.312927246094,1,11,73882.46112629097,17003.087316803125
1021000506,1020005,532.312927246094,1,11,214174.56794400665,49289.490689349266
1021000604,1020006,1198.74084472656,1,11,136180.4184099598,31340.151773035166
1021000607,1020006,1684.44506835938,1,11,456586.2259781161,105077.38033638573
1021000610,1020006,706.520263671875,1,11,258759.96096232865,59550.238896541145
1021000612,1020006,980.984252929688,1,11,259538.36666096264,59729.37884207094
1021000701,1020007,1227.20202636719,1,11,303681.61232066934,69888.37258641973
1021000702,1020007,819.294372558594,1,11,157424.85100071086,36229.28157231223
1021000703,1020007,1967.37316894531,1,11,184319.76481176986,42418.796119285034
1021000705,1020007,1164.33569335938,1,11,188488.51987073742,43378.180866212024
1021000710,1020007,1033.99523925781,1,11,271285.07460983476,62432.73086763826
1021000711,1020007,1407.00939941406,1,11,252280.73868311176,58059.13017494364
1021000805,1020008,2857.29248046875,1,11,136537.85965001018,31422.41222460316
1021000811,1020008,1060.20922851563,1,11,211743.9338049781,48730.11186153165
1021000906,1020009,1739.49560546875,1,11,226811.5683573901,52197.73194411677
1021001003,1020010,936.542236328125,1,11,290051.7638048679,66751.64025649871
1021001004,1020010,2741.14916992188,1,11,136215.1356621464,31348.14149700118
1021001007,1020010,2301.77685546875,1,11,214687.2729968223,49407.48308765188
1021001011,1020010,4196.806640625,1,11,211555.07669713759,48686.648854939034
1021001102,1020011,2421.603515625,1,11,170595.57930372056,39260.35335779549
1021001105,1020011,1576.47521972656,1,11,195944.3383538911,45094.040499942945
1021001107,1020011,837.905456542969,1,11,291262.0202974967,67030.16504446861
1021001109,1020011,465.642181396484,1,11,196301.5402041054,45176.2458590543
1021001110,1020011,537.691589355469,1,11,229982.59340754958,52927.50210864159
1021001202,1020012,1375.67321777344,1,11,262772.62305322033,60473.70087742497
1021001205,1020012,1405.46020507813,1,11,215479.3311462981,49589.7649671429
1021001206,1020012,2359.318359375,1,11,180967.98826030272,41647.4283480681
1021001208,1020012,1179.6591796875,1,11,227243.46571585556,52297.12750276407
1021001210,1020012,902.15283203125,1,11,185455.1294861643,42680.0855295301
1021001211,1020012,1903.62219238281,1,11,229821.66108053995,52890.46562709337
1021001301,1020013,2841.72412109375,1,11,515480.9576315201,118631.23668519885
1021001302,1020013,2841.72412109375,1,11,222272.4026788357,51153.10201163565
1021001304,1020013,1274.90185546875,1,11,327326.12610053475,75329.84984954442
1021001305,1020013,3023.79614257813,1,11,251382.74783327914,57852.4692625074
1021001306,1020013,3214.32885742188,1,11,154240.72763042914,35496.4969998028
1021001308,1020013,1274.90185546875,1,11,127207.97461993959,29275.260554183587
1021001309,1020013,2396.96240234375,1,11,33470.197158003546,7702.73047368258
1021001402,1020014,3679.8740234375,1,11,242896.31893764852,55899.42804919973
1021001403,1020014,1476.97021484375,1,11,215995.6895145288,49708.59812846358
1021001405,1020014,3266.748046875,1,11,282978.08098345256,65123.72417424605
1021001407,1020014,2253.78100585938,1,11,239379.46349015765,55090.06951751725
1021001408,1020014,1476.97021484375,1,11,193030.975585861,44423.56795781059
1021001501,1020015,1639.23132324219,1,11,153047.81594546326,35221.963893683904
1021001504,1020015,2811.91552734375,1,11,408690.0874499775,94054.70711845416
1021001505,1020015,1302,1,11,335145.1733643641,77129.30186203013
1021001507,1020015,716.810913085938,1,11,216687.58760518898,49867.82947336578
1021001512,1020015,889.289428710938,1,11,238042.8204663523,54782.45851351578
1021001701,1020017,1789.46069335938,1,11,285721.43013358046,65755.07029386664
1021001704,1020017,894.730346679688,1,11,120682.87555872742,27773.593888005078
1021001705,1020017,926.78271484375,1,11,206752.52541667043,47581.40415246999
1021001706,1020017,417.357727050781,1,11,130032.94777394764,29925.39137647872
1021001709,1020017,926.78271484375,1,11,138065.37895855372,31773.950922493477
1021001710,1020017,1848.83239746094,1,11,254386.2684873662,58543.69046928297
1021001711,1020017,1855.41320800781,1,11,200084.30772751654,46046.80059585149
1021001713,1020017,1080.55249023438,1,11,231769.38404588672,53338.70873031275
1021001802,1020018,1626.44274902344,1,11,151230.63490727928,34803.763316826204
1021001804,1020018,1388.17602539063,1,11,363554.75167012477,83667.39673871138
1021001809,1020018,1585.48095703125,1,11,222537.62524482867,51214.1395350102
