id_hh,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5
1013000201,101300020106,1,5,6,NA,7,3,0
1013000201,101300020107,0,5,18,2,7,3,0
1013000201,101300020101,0,1,45,2,7,3,0
1013000201,101300020104,1,3,11,3,7,3,0
1013000201,101300020105,1,3,10,NA,7,3,0
1013000201,101300020103,1,5,18,3,7,3,0
1013000201,101300020102,0,5,29,2,7,3,0
1013000204,101300020404,0,3,2,3,5,3,2
1013000204,101300020401,1,1,34,1,5,3,2
1013000204,101300020402,0,2,32,1,5,3,2
1013000204,101300020403,0,3,6,3,5,3,2
1013000204,101300020405,0,3,1,3,5,3,2
1013000206,101300020602,1,5,23,3,3,0,0
1013000206,101300020603,1,5,24,3,3,0,0
1013000206,101300020601,1,1,31,1,3,0,0
1021000102,102100010204,0,3,2,3,7,2,1
1021000102,102100010206,0,5,NA,NA,7,2,1
1021000102,102100010207,0,5,20,3,7,2,1
1021000102,102100010203,0,3,11,3,7,2,1
1021000102,102100010202,0,2,38,1,7,2,1
1021000102,102100010205,0,5,NA,NA,7,2,1
1021000102,102100010201,1,1,40,1,7,2,1
1021000108,102100010803,0,3,25,3,6,0,0
1021000108,102100010805,1,3,20,3,6,0,0
1021000108,102100010804,1,3,23,3,6,0,0
1021000108,102100010801,1,1,70,1,6,0,0
1021000108,102100010806,0,3,17,3,6,0,0
1021000108,102100010802,0,2,60,1,6,0,0
1021000109,102100010904,1,3,13,3,6,2,1
1021000109,102100010901,0,1,41,2,6,2,1
1021000109,102100010906,0,4,3,3,6,2,1
1021000109,102100010905,1,3,20,3,6,2,1
1021000109,102100010903,0,3,17,3,6,2,1
1021000109,102100010902,0,3,NA,1,6,2,1
1021000111,102100011107,0,5,NA,3,10,1,0
1021000111,102100011103,1,3,17,3,10,1,0
1021000111,102100011102,0,3,18,3,10,1,0
1021000111,102100011110,1,5,18,3,10,1,0
1021000111,102100011106,1,5,22,3,10,1,0
1021000111,102100011105,0,3,NA,NA,10,1,0
1021000111,102100011104,1,3,14,3,10,1,0
1021000111,102100011108,1,5,20,3,10,1,0
1021000111,102100011101,1,1,48,2,10,1,0
1021000111,102100011109,1,5,16,3,10,1,0
1021000113,102100011307,1,3,6,3,10,3,0
1021000113,102100011305,0,3,13,3,10,3,0
1021000113,102100011303,1,3,21,3,10,3,0
1021000113,102100011310,0,5,19,3,10,3,0
1021000113,102100011301,1,1,48,2,10,3,0
1021000113,102100011304,1,3,16,3,10,3,0
1021000113,102100011309,0,5,NA,3,10,3,0
1021000113,102100011302,0,2,NA,1,10,3,0
1021000113,102100011308,0,5,18,3,10,3,0
1021000113,102100011306,1,3,11,3,10,3,0
1021000201,102100020104,0,3,11,3,6,2,1
1021000201,102100020101,1,1,42,1,6,2,1
1021000201,102100020106,1,5,0,3,6,2,1
1021000201,102100020103,1,3,15,3,6,2,1
1021000201,102100020102,0,2,40,1,6,2,1
1021000201,102100020105,0,5,17,3,6,2,1
1021000202,102100020202,0,3,18,3,3,1,0
1021000202,102100020203,0,3,14,3,3,1,0
1021000202,102100020201,1,1,43,2,3,1,0
1021000203,102100020303,0,3,27,3,11,4,1
1021000203,102100020309,1,4,8,3,11,4,1
1021000203,102100020305,0,3,18,3,11,4,1
1021000203,102100020304,1,3,21,3,11,4,1
1021000203,102100020311,1,2,NA,NA,11,4,1
1021000203,102100020306,1,4,13,3,11,4,1
1021000203,102100020301,0,1,59,2,11,4,1
1021000203,102100020310,1,4,2,NA,11,4,1
1021000203,102100020307,1,4,15,3,11,4,1
1021000203,102100020308,0,4,6,3,11,4,1
1021000203,102100020302,1,3,38,3,11,4,1
102100020304,10210002030405,1,3,0,3,6,4,2
102100020304,10210002030403,1,3,7,3,6,4,2
102100020304,10210002030401,1,1,28,1,6,4,2
102100020304,10210002030406,1,5,13,3,6,4,2
102100020304,1021000203040,0,2,26,1,6,4,2
102100020304,10210002030404,1,3,4,3,6,4,2
1021000204,102100020401,1,1,38,1,1,0,0
1021000207,102100020701,1,1,45,1,4,1,0
1021000207,102100020702,0,2,39,1,4,1,0
1021000207,102100020704,0,3,18,3,4,1,0
1021000207,102100020703,1,3,14,3,4,1,0
1021000212,102100021207,1,5,16,3,7,1,0
1021000212,102100021203,1,3,17,3,7,1,0
1021000212,102100021201,0,1,49,2,7,1,0
1021000212,102100021205,0,5,NA,NA,7,1,0
1021000212,102100021204,1,3,5,3,7,1,0
1021000212,102100021202,0,3,18,3,7,1,0
1021000212,102100021206,1,5,17,3,7,1,0
1021000213,102100021303,1,3,25,3,12,3,1
1021000213,102100021301,1,1,50,1,12,3,1
1021000213,102100021304,1,3,23,3,12,3,1
1021000213,102100021309,0,5,5,3,12,3,1
1021000213,102100021310,0,5,3,3,12,3,1
1021000213,102100021311,0,5,14,3,12,3,1
1021000213,102100021305,0,3,21,3,12,3,1
1021000213,102100021302,0,2,42,1,12,3,1
1021000213,102100021308,0,5,25,2,12,3,1
1021000213,102100021312,1,5,NA,NA,12,3,1
1021000213,102100021306,0,5,18,3,12,3,1
1021000213,102100021307,0,5,20,3,12,3,1
1021000312,102100031204,0,3,1,3,4,3,1
1021000312,102100031203,1,3,5,3,4,3,1
1021000312,102100031202,0,5,10,3,4,3,1
1021000312,102100031201,0,1,31,1,4,3,1
1021000313,102100031301,1,1,38,3,2,0,0
1021000313,102100031302,0,5,NA,NA,2,0,0
1021000401,102100040101,1,1,34,1,1,0,0
1021000402,102100040201,1,1,45,2,4,1,0
1021000402,102100040204,1,5,13,3,4,1,0
1021000402,102100040203,1,5,20,3,4,1,0
1021000402,102100040202,1,5,26,3,4,1,0
1021000405,102100040501,1,1,30,1,4,2,2
1021000405,102100040504,0,3,1,3,4,2,2
1021000405,102100040503,1,3,3,3,4,2,2
1021000405,102100040502,0,2,30,1,4,2,2
102100040502,1021000405030,0,5,18,3,6,3,2
102100040502,10210004050203,1,3,4,3,6,3,2
102100040502,1021000405020,0,1,29,1,6,3,2
102100040502,10210004050202,0,3,8,3,6,3,2
102100040502,10210004050206,0,3,0,3,6,3,2
102100040502,10210004050205,0,5,17,3,6,3,2
1021000408,102100040802,1,3,35,3,8,2,0
1021000408,102100040804,1,3,32,3,8,2,0
1021000408,102100040808,1,3,NA,NA,8,2,0
1021000408,102100040805,1,3,11,3,8,2,0
1021000408,102100040803,0,3,24,3,8,2,0
1021000408,102100040806,1,4,9,3,8,2,0
1021000408,102100040807,0,4,NA,NA,8,2,0
1021000408,102100040801,0,1,60,2,8,2,0
1021000503,102100050303,0,4,2,3,3,1,1
1021000503,102100050302,0,3,36,1,3,1,1
1021000503,102100050301,0,1,76,2,3,1,1
1021000504,102100050403,1,3,17,3,6,2,0
1021000504,102100050404,0,3,8,3,6,2,0
1021000504,102100050402,0,3,14,3,6,2,0
1021000504,102100050401,0,1,38,2,6,2,0
1021000504,102100050405,0,5,NA,NA,6,2,0
1021000504,102100050406,1,3,NA,NA,6,2,0
1021000506,102100050601,1,1,46,1,6,3,0
1021000506,102100050604,1,3,11,3,6,3,0
1021000506,102100050605,1,3,6,3,6,3,0
1021000506,102100050602,0,2,32,1,6,3,0
1021000506,102100050603,1,3,14,3,6,3,0
1021000506,102100050606,1,5,NA,NA,6,3,0
1021000604,102100060408,1,3,3,3,8,4,1
1021000604,102100060406,0,3,10,3,8,4,1
1021000604,102100060405,1,3,13,3,8,4,1
1021000604,102100060404,0,3,15,3,8,4,1
1021000604,102100060407,1,3,6,3,8,4,1
1021000604,102100060402,0,3,43,1,8,4,1
1021000604,102100060401,1,1,43,1,8,4,1
1021000604,102100060403,1,3,19,3,8,4,1
1021000607,102100060709,1,5,21,3,12,1,0
1021000607,102100060701,0,1,48,1,12,1,0
1021000607,102100060710,1,4,12,3,12,1,0
1021000607,102100060711,0,5,21,3,12,1,0
1021000607,102100060704,1,3,23,3,12,1,0
1021000607,102100060712,0,5,29,3,12,1,0
1021000607,102100060707,0,3,21,3,12,1,0
1021000607,102100060703,0,3,27,3,12,1,0
1021000607,102100060702,1,3,25,3,12,1,0
1021000607,102100060708,0,5,27,3,12,1,0
1021000607,102100060705,0,5,28,3,12,1,0
1021000607,102100060706,0,5,21,3,12,1,0
1021000608,102100060802,0,2,21,1,5,3,3
1021000608,102100060805,1,3,0,3,5,3,3
1021000608,102100060803,0,3,1,3,5,3,3
1021000608,102100060801,1,1,26,1,5,3,3
1021000608,102100060804,1,3,0,3,5,3,3
1021000610,102100061002,0,2,45,1,9,2,0
1021000610,102100061009,0,5,9,3,9,2,0
1021000610,102100061004,0,3,19,3,9,2,0
1021000610,102100061008,0,4,NA,NA,9,2,0
1021000610,102100061003,0,3,21,3,9,2,0
1021000610,102100061007,0,4,9,3,9,2,0
1021000610,102100061005,0,3,15,3,9,2,0
1021000610,102100061006,1,3,15,3,9,2,0
1021000610,102100061001,1,1,49,1,9,2,0
1021000612,102100061202,0,2,42,1,8,0,0
1021000612,102100061208,0,5,21,3,8,0,0
1021000612,102100061205,0,3,21,3,8,0,0
1021000612,102100061203,0,3,26,3,8,0,0
1021000612,102100061201,1,1,58,1,8,0,0
1021000612,102100061207,0,5,21,3,8,0,0
1021000612,102100061204,0,3,24,3,8,0,0
1021000612,102100061206,1,3,18,3,8,0,0
1021000701,102100070110,0,5,25,3,11,3,3
1021000701,102100070102,0,2,27,1,11,3,3
1021000701,102100070108,1,3,0,3,11,3,3
1021000701,102100070111,0,5,0,NA,11,3,3
1021000701,102100070101,1,1,32,1,11,3,3
1021000701,102100070104,0,5,47,2,11,3,3
1021000701,102100070106,1,5,23,NA,11,3,3
1021000701,102100070103,1,3,3,3,11,3,3
1021000701,102100070107,0,5,22,3,11,3,3
1021000701,102100070109,0,NA,NA,NA,11,3,3
1021000701,102100070105,0,5,15,3,11,3,3
1021000702,102100070204,0,3,NA,NA,7,1,0
1021000702,102100070206,0,NA,NA,NA,7,1,0
1021000702,102100070201,1,1,53,1,7,1,0
1021000702,102100070207,0,NA,NA,NA,7,1,0
1021000702,102100070205,0,4,NA,NA,7,1,0
1021000702,102100070202,0,2,41,1,7,1,0
1021000702,102100070203,1,3,7,3,7,1,0
1021000703,102100070303,1,3,19,3,4,0,0
1021000703,102100070302,0,3,21,3,4,0,0
1021000703,102100070301,0,1,47,2,4,0,0
1021000703,102100070304,0,3,NA,NA,4,0,0
1021000705,102100070503,1,3,0,3,3,1,1
1021000705,102100070502,0,2,18,1,3,1,1
1021000705,102100070501,1,1,26,1,3,1,1
1021000709,102100070903,0,5,15,3,9,6,1
1021000709,102100070902,0,2,29,1,9,6,1
1021000709,102100070906,1,3,11,3,9,6,1
1021000709,102100070907,1,3,9,3,9,6,1
1021000709,102100070908,1,3,7,3,9,6,1
1021000709,102100070905,1,3,13,3,9,6,1
1021000709,102100070909,0,3,3,3,9,6,1
1021000709,102100070901,1,1,42,1,9,6,1
1021000709,102100070904,0,3,14,3,9,6,1
1021000710,102100071001,0,1,53,1,14,2,0
1021000710,102100071005,0,3,NA,3,14,2,0
1021000710,102100071007,0,3,15,3,14,2,0
1021000710,102100071012,0,5,NA,NA,14,2,0
1021000710,102100071002,1,3,NA,3,14,2,0
1021000710,102100071009,1,5,67,3,14,2,0
1021000710,102100071006,1,3,20,3,14,2,0
1021000710,102100071003,1,5,NA,3,14,2,0
1021000710,102100071011,1,4,12,3,14,2,0
1021000710,102100071008,1,5,28,3,14,2,0
1021000710,102100071004,0,3,32,3,14,2,0
1021000710,102100071010,0,4,NA,NA,14,2,0
1021000710,102100071014,0,5,14,3,14,2,0
1021000710,102100071013,1,5,NA,NA,14,2,0
1021000711,102100071103,1,3,16,3,6,3,1
1021000711,102100071105,1,3,7,3,6,3,1
1021000711,102100071106,1,3,2,3,6,3,1
1021000711,102100071104,0,3,12,3,6,3,1
1021000711,102100071102,0,2,34,1,6,3,1
1021000711,102100071101,1,1,38,1,6,3,1
1021000802,102100080202,0,2,29,1,2,0,0
1021000802,102100080201,1,1,25,1,2,0,0
1021000805,102100080502,0,2,19,1,3,1,1
1021000805,102100080503,1,3,1,3,3,1,1
1021000805,102100080501,1,1,23,1,3,1,1
102100080503,1021000805030,1,1,20,3,1,0,0
1021000807,102100080702,0,5,21,3,2,0,0
1021000807,102100080701,1,1,37,1,2,0,0
1021000808,102100080801,1,1,36,1,3,0,0
1021000808,102100080802,0,5,20,3,3,0,0
