case_id,wgt09,ea_id,urban,regionXurban,total_consumption_annual,total_consumption_weekly
1013000201,3205.63134765625,1010002,0,10,0,0
1013000204,3205.63134765625,1010002,0,10,0,0
1013000206,2091.03662109375,NA,1,1,0,0
1021000108,1273.73571777344,1020001,1,1,0,0
1021000111,1206.75598144531,1020001,1,1,0,0
1021000113,690.195068359375,1020001,1,1,0,0
1021000201,3785.56713867188,1020002,1,1,0,0
1021000203,6282.59423828125,1020002,1,1,15748.634619724668,302.0285925958927
1021000207,2269.552734375,1020002,1,1,0,0
1021000212,7004.5390625,1020002,1,1,0,0
1021000213,3968.14770507813,1020002,1,1,0,0
1021000312,1834.88891601563,1020003,1,1,68566.87632054611,1314.9811176553437
1021000313,2812.9482421875,1020003,1,1,28210.104529616725,541.0156736630236
1021000401,2891.51538085938,1020004,1,1,0,0
1021000402,721.86376953125,1020004,1,1,0,0
1021000405,5301.111328125,1020004,1,1,0,0
1021000503,1457.80126953125,1020005,1,1,169032.52015198322,3241.7193869301227
1021000504,769.357604980469,1020005,1,1,50080.831130764134,960.4542430308605
1021000506,769.357604980469,1020005,1,1,0,0
1021000604,1158.984375,1020006,1,1,0,0
1021000607,1265.03454589844,1020006,1,1,32755.544465513518,628.1884895748626
1021000610,667.624572753906,1020006,1,1,0,0
1021000612,825.183349609375,1020006,1,1,0,0
1021000701,920.441162109375,1020007,1,1,151619.0476190476,2907.762397748179
1021000702,807.049865722656,1020007,1,1,0,0
1021000703,3880.43701171875,NA,1,1,27114.247729747894,519.9992430363025
1021000705,1411.06799316406,1020007,1,1,33142.24570135033,635.6046772530377
1021000710,1411.06799316406,1020007,1,1,0,0
1021000711,1409.08666992188,1020007,1,1,0,0
1021000805,2143.06176757813,1020008,1,1,0,0
1021000811,1003.32250976563,1020008,1,1,0,0
1021000906,906.749938964844,NA,1,1,0,0
1021001003,831.695739746094,1020010,1,1,0,0
1021001004,2055.9501953125,1020010,1,1,0,0
1021001007,1663.39147949219,1020010,1,1,0,0
1021001011,3151.8427734375,1020010,1,1,18580.13919960229,356.3314171796923
1021001102,2959.87060546875,1020011,1,1,0,0
1021001105,1183.9482421875,1020011,1,1,0,0
1021001107,772.290710449219,1020011,1,1,17413.472532935622,333.95698918194404
1021001109,881.315368652344,1020011,1,1,62254.625,1193.9242496479862
1021001110,369.009063720703,1020011,1,1,0,0
1021001202,1163.376953125,NA,1,11,315664.79723553604,6053.845094717399
1021001205,1163.376953125,1020012,1,1,55883.69697887691,1071.742075115882
1021001206,1517.74401855469,1020012,1,1,15748.634619724668,302.0285925958927
1021001208,758.872009277344,1020012,1,1,0,0
1021001210,758.872009277344,1020012,1,1,0,0
1021001211,1163.376953125,1020012,1,1,0,0
1021001301,2270.90014648438,1020013,1,1,0,0
1021001302,2270.90014648438,1020013,1,1,0,0
1021001304,1133.85571289063,1020013,1,1,0,0
1021001305,2270.90014648438,1020013,1,1,0,0
1021001306,2962.62133789063,1020013,1,1,0,0
1021001308,2267.71142578125,1020013,1,1,0,0
1021001309,2396.9443359375,1020013,1,1,0,0
1021001402,5520.04833984375,1020014,1,1,554302.0445479752,10630.449586922834
1021001403,1320.00573730469,1020014,1,1,0,0
1021001405,3010.93530273438,1020014,1,1,0,0
1021001407,1505.46765136719,NA,1,11,0,0
1021001408,1218.01684570313,1020014,1,1,17006.90984578885,326.1598969789699
1021001501,2109.02758789063,1020015,1,1,0,0
1021001504,2109.02758789063,1020015,1,1,34420.38237872448,660.116886160914
1021001505,1077.73718261719,1020015,1,1,17413.472532935622,333.95698918194404
1021001507,703.009155273438,1020015,1,1,0,0
1021001512,1077.73718261719,NA,1,1,0,0
1021001701,1817.87609863281,1020017,1,1,0,0
1021001704,735.387329101563,1020017,1,1,17413.472532935622,333.95698918194404
1021001705,908.938049316406,1020017,1,1,17006.90984578885,326.1598969789699
1021001706,593.28759765625,1020017,1,1,0,0
1021001709,908.938049316406,1020017,1,1,0,0
1021001710,1846.00317382813,1020017,1,1,0,0
1021001711,1393.43347167969,1020017,1,1,0,0
1021001713,1393.43347167969,1020017,1,1,28210.104529616725,541.0156736630236
1021001802,1499.0791015625,1020018,1,1,0,0
1021001804,749.53955078125,1020018,1,1,34042.11163219556,652.8623790907435
1021001809,1212.84802246094,1020018,1,1,0,0
1021001810,1149.06994628906,1020018,1,1,0,0
1021001902,1581.6298828125,1020019,1,1,0,0
1021001907,693.392639160156,NA,1,11,211666.04568165596,4059.348598861972
1021001908,790.81494140625,1020019,1,1,0,0
1021001910,605.322143554688,1020019,1,1,50169.01699844914,962.1454787568066
1021002008,1203.58996582031,1020020,1,1,0,0
1021002010,1148.2109375,1020020,1,1,0,0
1021002011,1203.58996582031,1020020,1,1,0,0
1021002013,1570.2060546875,1020020,1,1,0,0
1021002103,1147.96118164063,NA,1,1,0,0
1021002106,928.771850585938,1020021,1,1,0,0
1021002107,839.444946289063,1020021,1,1,6384.800325998371,122.4482187206143
1021002201,2006.66589355469,1020022,1,1,28210.104529616725,541.0156736630236
1021002203,1059.02209472656,1020022,1,1,0,0
1021002204,2006.66589355469,1020022,1,1,6027.997971602434,115.6054342167352
1021002205,1308.95031738281,1020022,1,1,0,0
1021002208,2006.66589355469,1020022,1,1,10107.337883959044,193.83934605733256
1021002210,1308.95031738281,1020022,1,1,23798.272858933993,456.40520790255835
1021002301,974.736267089844,1020023,1,1,0,0
1021002308,1204.77319335938,1020023,1,1,0,0
1021002309,3693.91748046875,1020023,1,1,23798.272858933993,456.40520790255835
1021002312,2409.54638671875,1020023,1,1,17413.472532935622,333.95698918194404
1021002405,778.195922851563,1020024,1,1,0,0
1021002407,1259.21765136719,1020024,1,1,0,0
1021002501,461.385955810547,1020025,1,1,17413.472532935622,333.95698918194404
1021002502,806.699768066406,1020025,1,1,211666.04568165596,4059.348598861972
1021002508,526.211120605469,1020025,1,1,6969.532514779446,133.66226008276965
1021002509,425.737457275391,1020025,1,1,0,0
1021002603,1659.3671875,1020026,1,1,0,0
1021002605,499.924530029297,1020026,1,1,0,0
1021002610,1367.31750488281,1020026,1,1,17413.472532935622,333.95698918194404
1021002611,1367.31750488281,1020026,1,1,0,0
1021002702,583.495178222656,1020027,1,1,0,0
1021002703,552.03564453125,1020027,1,1,0,0
1021002711,1105.62365722656,1020027,1,1,0,0
1021002801,2795.44848632813,1020028,1,1,380698.5658336392,7301.067985792095
1021002802,1823.47387695313,1020028,1,1,0,0
1021002805,1823.47387695313,1020028,1,1,0,0
1021002810,2795.44848632813,1020028,1,1,0,0
1021002901,302.079223632813,1020029,1,1,0,0
1021002903,302.079223632813,1020029,1,1,0,0
1021002905,302.079223632813,1020029,1,1,268716.4093271995,5153.465101975601
1021002906,302.079223632813,1020029,1,1,211666.04568165596,4059.348598861972
1021002910,302.079223632813,1020029,1,1,0,0
1021003103,1652.92565917969,1020031,1,1,0,0
1021003109,1890.75708007813,1020031,1,1,0,0
1021003201,2209.591796875,1020032,1,1,0,0
1021003203,5040.08349609375,1020032,1,1,0,0
1021003205,3863.31103515625,1020032,1,1,0,0
1021003309,1411.28344726563,1020033,1,1,39546.90747865866,758.433800498451
1021003310,744.807739257813,NA,1,1,0,0
1021003403,1272.18798828125,1020034,1,1,0,0
1021003407,635.200805664063,1020034,1,1,0,0
1033000301,1237.41711425781,1030003,0,10,0,0
1033000302,921.17626953125,1030003,0,10,0,0
1033000303,991.080383300781,1030003,0,10,380698.5658336392,7301.067985792095
1033000304,3402.89672851563,1030003,0,10,4486.165577342048,86.0360474538997
1033000307,2398.74389648438,1030003,0,10,17006.90984578885,326.1598969789699
1033000308,991.080383300781,1030003,0,10,0,0
1033000310,955.407409667969,1030003,0,10,0,0
1033000504,1838.71496582031,1030005,0,10,0,0
1033000505,1039.4873046875,1030005,0,10,0,0
1033000506,886.417846679688,1030005,0,10,0,0
1033000507,839.357482910156,1030005,0,10,0,0
1033000509,2381.4521484375,1030005,0,10,0,0
1033000511,2518.072265625,1030005,0,10,0,0
1041000203,842.069458007813,1040002,1,11,0,0
1041000204,1554.01574707031,1040002,1,11,0,0
1041000206,2205.34497070313,NA,1,11,0,0
1041000207,777.007873535156,1040002,1,11,0,0
1041000209,777.007873535156,1040002,1,11,72890.60682466577,1397.9019720948518
1041000210,650.160400390625,1040002,1,11,0,0
1041000213,1684.13891601563,1040002,1,11,0,0
1043000401,4250.81201171875,1040004,0,10,0,0
1043000402,938.570495605469,1040004,0,10,0,0
1043000403,1061.21081542969,NA,0,10,27114.247729747894,519.9992430363025
1043000406,1215.61010742188,1040004,0,10,449870.37232164806,8627.650503283634
1043000407,856.898559570313,1040004,0,10,0,0
1043000408,1121.68737792969,NA,0,10,0,0
1043000409,2856.32861328125,1040004,0,10,0,0
1043000410,1215.61010742188,1040004,0,10,157154.0130956911,3013.912414771478
1043000601,1906.45166015625,1040006,0,10,0,0
1043000603,3119.84594726563,1040006,0,10,0,0
1043000604,2285.94140625,1040006,0,10,0,0
1043000605,997.797485351563,1040006,0,10,0,0
1043000606,1830.87158203125,1040006,0,10,1166.6666666666667,22.37442799774824
