id_hh,wgt10,comm,urban,regurb
1013000201,3622.02563476563,1010002,0,10
1013000204,3528.3916015625,1010002,0,10
1013000206,2735.64892578125,1010002,1,11
1021000102,995.748474121094,1020001,1,NA
1021000108,1350.81335449219,1020001,1,11
1021000109,1606.84460449219,1020001,1,11
1021000111,1405.30773925781,1020001,1,11
1021000113,746.928955078125,1020001,1,11
1021000201,4510.3125,1020002,1,11
1021000202,5278.48779296875,1020002,1,11
1021000203,6022.107421875,1020002,1,11
102100020304,4186.296875,1020002,1,11
1021000204,6022.107421875,1020002,1,11
1021000207,2386.52319335938,1020002,1,11
1021000212,6022.107421875,1020002,1,11
1021000213,4965.599609375,1020002,1,11
1021000312,1870.91235351563,1020003,1,11
1021000313,3745.5546875,1020003,1,11
1021000401,3850.17041015625,1020004,1,11
1021000402,1809.169921875,1020004,1,11
1021000405,6022.107421875,1020004,1,11
102100040502,7126.99755859375,1020004,1,11
1021000408,1059.4150390625,1020004,1,NA
1021000503,1941.12170410156,1020005,1,11
1021000504,532.312927246094,1020005,1,11
1021000506,532.312927246094,1020005,1,11
1021000604,1198.74084472656,1020006,1,11
1021000607,1684.44506835938,1020006,1,11
1021000608,1873.45971679688,1020006,1,11
1021000610,706.520263671875,1020006,1,11
1021000612,980.984252929688,1020006,1,11
1021000701,1227.20202636719,1020007,1,11
1021000702,819.294372558594,1020007,1,11
1021000703,1967.37316894531,1020007,1,11
1021000705,1164.33569335938,1020007,1,11
1021000709,2067.99047851563,1020007,1,11
1021000710,1033.99523925781,1020007,1,11
1021000711,1407.00939941406,1020007,1,11
1021000802,1791.94909667969,1020008,1,11
1021000805,2857.29248046875,1020008,1,11
102100080503,5167.384765625,1020008,1,11
1021000807,495.833984375,1020008,1,NA
1021000808,7126.99755859375,1020008,1,11
102100080803,1171.40673828125,1020008,1,21
1021000809,1110.45617675781,1020008,1,11
1021000810,1021.9873046875,1020008,1,11
1021000811,1060.20922851563,1020008,1,11
1021000904,1077.951171875,1020009,1,11
1021000906,1739.49560546875,1020009,1,11
1021000909,1679.33581542969,1020009,1,11
1021001003,936.542236328125,1020010,1,11
1021001004,2741.14916992188,1020010,1,11
1021001007,2301.77685546875,1020010,1,11
1021001011,4196.806640625,1020010,1,11
1021001102,2421.603515625,1020011,1,11
1021001105,1576.47521972656,1020011,1,11
1021001107,837.905456542969,1020011,1,11
1021001109,465.642181396484,1020011,1,11
102100110901,440.040252685547,1020011,1,11
102100110904,1205.50463867188,1020011,1,11
1021001110,537.691589355469,1020011,1,11
1021001202,1375.67321777344,1020012,1,11
1021001205,1405.46020507813,1020012,1,11
1021001206,2359.318359375,1020012,1,11
1021001208,1179.6591796875,1020012,1,11
1021001210,902.15283203125,1020012,1,11
1021001211,1903.62219238281,1020012,1,11
1021001301,2841.72412109375,1020013,1,11
1021001302,2841.72412109375,1020013,1,11
1021001304,1274.90185546875,1020013,1,11
1021001305,3023.79614257813,1020013,1,11
1021001306,3214.32885742188,1020013,1,11
1021001307,3023.79614257813,1020013,1,11
1021001308,1274.90185546875,1020013,1,11
1021001309,2396.96240234375,1020013,1,11
1021001402,3679.8740234375,1020014,1,11
102100140202,6022.107421875,1020014,1,11
102100140204,7126.99755859375,1020014,1,11
1021001403,1476.97021484375,1020014,1,11
1021001405,3266.748046875,1020014,1,11
1021001406,796.118896484375,1020014,1,11
1021001407,2253.78100585938,1020014,1,11
1021001408,1476.97021484375,1020014,1,11
1021001501,1639.23132324219,1020015,1,11
102100150102,6022.107421875,1020015,1,11
1021001504,2811.91552734375,1020015,1,11
102100150406,1939.98486328125,1020015,1,11
1021001505,1302,1020015,1,11
1021001507,716.810913085938,1020015,1,11
1021001512,889.289428710938,1020015,1,11
1021001607,2262.99682617188,1020016,1,11
102100160707,1218.45483398438,1020016,1,11
1021001701,1789.46069335938,1020017,1,11
1021001704,894.730346679688,1020017,1,11
1021001705,926.78271484375,1020017,1,11
1021001706,417.357727050781,1020017,1,11
1021001709,926.78271484375,1020017,1,11
1021001710,1848.83239746094,1020017,1,11
102100171003,2883.97802734375,1020017,1,11
1021001711,1855.41320800781,1020017,1,11
1021001713,1080.55249023438,1020017,1,11
1021001802,1626.44274902344,1020018,1,11
1021001804,1388.17602539063,1020018,1,11
1021001809,1585.48095703125,1020018,1,11
1021001810,1378.92504882813,1020018,1,11
1021001901,1614.28869628906,1020019,1,11
1021001902,2458.62841796875,1020019,1,11
1021001907,431.452209472656,1020019,1,11
1021001908,858.003601074219,1020019,1,11
1021001909,2458.62841796875,1020019,1,11
1021001910,582.716857910156,1020019,1,11
1021001915,3967.50122070313,1020019,1,11
1021002003,625.559997558594,1020020,1,11
1021002007,1506.1298828125,1020020,1,NA
1021002008,1506.1298828125,1020020,1,11
1021002010,1297.91149902344,1020020,1,11
1021002011,1602.62902832031,1020020,1,11
1021002013,1703.61254882813,1020020,1,11
1021002103,1530.54907226563,1020021,1,11
1021002106,642.610534667969,1020021,1,11
1021002107,1153.81848144531,1020021,1,11
1021002201,2671.95751953125,1020022,1,11
1021002203,596.263061523438,1020022,1,11
1021002204,2671.95751953125,1020022,1,11
1021002205,1215.87658691406,1020022,1,11
1021002208,2671.95751953125,1020022,1,11
1021002210,1417.61218261719,1020022,1,11
1021002211,5343.9150390625,1020022,1,NA
1021002301,1307.13195800781,1020023,1,11
1021002307,1210.92041015625,1020023,1,11
1021002308,1606.29504394531,1020023,1,11
1021002309,4918.6015625,1020023,1,11
1021002312,2864.48706054688,1020023,1,11
1021002405,1209.69812011719,1020024,1,11
1021002407,1417.958984375,1020024,1,11
1021002501,516.250305175781,1020025,1,11
1021002502,569.894287109375,1020025,1,11
1021002505,1074.15356445313,1020025,1,11
1021002508,603.928955078125,1020025,1,11
1021002509,450.540863037109,1020025,1,11
