case_id,wgt11,ea_id,urban,regionXurban,total_consumption_annual,total_consumption_weekly
1013000201,1329.5159912109375,10130002,0,10,162941.79894179894,3124.911041354443
1013000204,2659.031982421875,10130002,0,10,372711.4389584036,7147.890218495948
1013000206,891.62249755859375,10130002,0,10,63093.75534567891,1210.0171595052307
1021000108,976.03643798828125,10210001,1,11,369375.6026362797,7083.915278837404
1021000111,478.2242736816406,10210001,1,11,453020.69668497454,8688.067679543748
1021000113,265.7405700683594,10210001,1,11,312435.08407599543,5991.905393681809
1021000201,1604.7392578125,10210002,1,11,318819.88440199377,6114.353612402422
1021000203,5807.35888671875,10210002,1,11,383716.9054232453,7358.953947352433
1021000207,774.28118896484375,10210002,1,11,339185.76246884925,6504.932074474804
1021000212,3229.330322265625,10210002,1,11,368411.7354483023,7065.430155697296
1021000213,1780.902099609375,10210002,1,11,377484.5843956543,7239.429988988988
1021000312,815.8468017578125,10210003,1,11,400561.39684283873,7681.998970575046
1021000313,3074.760986328125,10210003,1,11,33142.24570135033,635.6046772530377
1021000401,2595.420166015625,10210004,1,11,0,0
1021000402,648.85504150390625,10210004,1,11,415333.06980577414,7965.29131324546
1021000405,4758.2705078125,10210004,1,11,84962.62667134276,1629.4201482493052
1021000503,654.26025390625,10210005,1,11,48914.16446409746,938.0798150331121
1021000504,366.49267578125,10210005,1,11,23798.272858933993,456.40520790255835
1021000506,732.9853515625,10210005,1,11,391369.7127757357,7505.720107714377
1021000604,802.794677734375,10210006,1,11,347658.31356511795,6667.419346869695
1021000607,567.7467041015625,10210006,1,11,3508478.4942959254,67285.88524480486
1021000610,282.7587585449219,10210006,1,11,380905.57253738074,7305.037977153166
1021000612,659.78961181640625,10210006,1,11,449451.7773396954,8619.622654754561
1021000701,409.25579833984375,10210007,1,11,542385.1193040222,10401.905827643941
1021000702,275.33331298828125,10210007,1,11,337550.9756811589,6473.580000812362
1021000703,1311.604736328125,10210007,1,11,362653.6985171691,6955.002056219569
1021000705,783.30841064453125,10210007,1,11,38268.77080128452,733.9215915905747
1021000710,345.830078125,10210007,1,11,354448.339672652,6797.639018508997
1021000711,942.3280029296875,10210007,1,11,399735.3146010072,7666.156298312122
1021000805,1905.7391357421875,10210008,1,11,69791.95725790103,1338.4758192761392
1021000811,694.97216796875,10210008,1,11,372764.632705483,7148.910372493627
1021000906,586.1514892578125,10210009,1,11,28435.71652626358,545.3424788410836
1021001003,296.56842041015625,10210010,1,11,133524.58285985296,2560.745284394699
1021001004,914.13720703125,10210010,1,11,277043.23117950733,5313.157567105206
1021001007,595.934814453125,10210010,1,11,360833.1399986504,6920.087237229612
1021001011,2829.090087890625,10210010,1,11,397747.1632091612,7628.027369598853
1021001102,1617.6790771484375,10210011,1,11,79362.44382264501,1522.0193871729516
1021001105,1062.71044921875,10210011,1,11,27114.247729747894,519.9992430363025
1021001107,282.7587585449219,10210011,1,11,445468.55530664226,8543.23209940234
1021001109,599.58990478515625,10210011,1,11,415181.55416918907,7962.385534072912
1021001110,548.88128662109375,10210011,1,11,27114.247729747894,519.9992430363025
1021001202,1044.24560546875,10210012,1,11,347165.4891666979,6657.967920568567
1021001205,473.3856201171875,10210012,1,11,172718.11067582818,3312.4019410486535
1021001206,645.81085205078125,10210012,1,11,307319.008589224,5893.7888828733985
1021001208,322.9054260253906,10210012,1,11,337157.872658667,6466.041039150269
1021001210,322.9054260253906,10210012,1,11,550596.7074378328,10559.388331170037
1021001211,1271.6572265625,10210012,1,11,80565.32843970288,1545.0884059620603
1021001301,1241.1309814453125,10210013,1,11,44256.383185137616,848.7525077285292
1021001302,1019.178466796875,10210013,1,11,46833.180676325275,898.1705390982635
1021001304,858.74114990234375,10210013,1,11,396238.3747397917,7599.091701908788
1021001305,2038.35693359375,10210013,1,11,27114.247729747894,519.9992430363025
1021001306,1081.70166015625,10210013,1,11,349761.68296061485,6707.757935805877
1021001308,1045.75439453125,10210013,1,11,315668.4908779403,6053.915931691134
1021001309,803.26751708984375,10210013,1,11,0,0
1021001402,2454.37939453125,10210014,1,11,43254.94864446117,829.5469148501093
1021001403,900.6669921875,10210014,1,11,50169.01699844914,962.1454787568066
1021001405,1099.3419189453125,10210014,1,11,369573.633589224,7087.713132521385
1021001407,1281.1744384765625,10210014,1,11,382973.4018330125,7344.694975170379
1021001408,450.33349609375,10210014,1,11,431002.5303236149,8265.801498491162
1021001501,1092.8397216796875,10210015,1,11,17413.472532935622,333.95698918194404
1021001504,937.73687744140625,10210015,1,11,0,0
1021001505,483.687744140625,10210015,1,11,347511.64498776884,6664.6065249924695
1021001507,282.7587585449219,10210015,1,11,270906.5621889593,5195.468031269464
1021001512,272.8602600097656,10210015,1,11,17413.472532935622,333.95698918194404
1021001701,586.07830810546875,10210017,1,11,588869.2855058786,11293.382938831484
1021001704,300.8902282714844,10210017,1,11,321802.3410614342,6171.551408216469
1021001705,623.61114501953125,10210017,1,11,378356.15838588175,7256.145105693891
1021001706,366.49267578125,10210017,1,11,273056.16962407005,5236.693377081158
1021001709,623.61114501953125,10210017,1,11,386401.600277809,7410.441243111886
1021001710,1291.3355712890625,10210017,1,11,0,0
1021001711,587.56597900390625,10210017,1,11,26704.489364828954,512.1408638657134
1021001713,363.3785705566406,10210017,1,11,321802.3410614342,6171.551408216469
1021001802,666.53558349609375,10210018,1,11,45217.014375405575,867.1755706419934
1021001804,455.36395263671875,10210018,1,11,89025.94268022724,1707.3467523689194
1021001809,1058.2984619140625,10210018,1,11,575262.1809332846,11032.424783245197
