case_id,ea_id,wgt09,urban,regionXurban,total_consumption_food,purchases,home_prod,gifts_and_other,perc_tot,perc_purch,perc_home_prod,perc_gift_and_other,test
1013000201,1010002,3205.63134765625,0,10,44503.76308514047,44503.76308514047,0,0,1,1,0,0,1
1013000204,1010002,3205.63134765625,0,10,56107.24929116438,46748.05333078372,9359.195960380655,0,1,0.8331909676802758,0.1668090323197241,0,0.9999999999999999
1013000206,NA,2091.03662109375,1,1,35106.703695999786,35106.703695999786,0,0,1,1,0,0,1
1021000108,1020001,1273.73571777344,1,1,105819.6422918296,100408.90544972435,0,5410.736842105263,1,0.9488683128678179,0,0.05113168713218216,1
1021000111,1020001,1206.75598144531,1,1,215928.65915338704,215928.65915338704,0,0,1,1,0,0,1
1021000113,1020001,690.195068359375,1,1,263110.12117661675,242908.83328766038,2435.1724137931037,17766.115475163275,1,0.923221167628911,0.009255335381638384,0.06752349698945063,1
1021000201,1020002,3785.56713867188,1,1,173976.24050138213,173976.24050138213,0,0,1,1,0,0,1
1021000203,1020002,6282.59423828125,1,1,64064.31554613025,64064.31554613025,0,0,1,1,0,0,1
1021000207,1020002,2269.552734375,1,1,136554.51352432257,136554.51352432254,0,0,1,0.9999999999999998,0,0,0.9999999999999998
1021000212,1020002,7004.5390625,1,1,141576.9766041792,120002.2990448454,0,21574.6775593338,1,0.8476116803959427,0,0.15238831960405727,1
1021000213,1020002,3968.14770507813,1,1,166912.97518551289,166912.97518551289,0,0,1,1,0,0,1
1021000312,1020003,1834.88891601563,1,1,65059.74380528457,65059.74380528457,0,0,1,1,0,0,1
1021000313,1020003,2812.9482421875,1,1,74234.65655664586,74234.65655664586,0,0,1,1,0,0,1
1021000401,1020004,2891.51538085938,1,1,29715.92108754349,29715.92108754349,0,0,1,1,0,0,1
1021000402,1020004,721.86376953125,1,1,77227.52596018997,77227.52596018997,0,0,1,1,0,0,1
1021000405,1020004,5301.111328125,1,1,86381.81291796065,86381.81291796065,0,0,1,1,0,0,1
1021000503,1020005,1457.80126953125,1,1,100966.07045748224,65101.40889082261,0,35864.66156665963,1,0.6447850113988285,0,0.3552149886011715,1
1021000504,1020005,769.357604980469,1,1,95160.03210466969,87380.68772928968,0,7779.344375380011,1,0.9182498765151398,0,0.08175012348486023,1
1021000506,1020005,769.357604980469,1,1,141361.0450593068,141361.0450593068,0,0,1,1,0,0,1
1021000604,1020006,1158.984375,1,1,75324.04354031947,75324.04354031947,0,0,1,1,0,0,1
1021000607,1020006,1265.03454589844,1,1,125391.89569960527,125391.89569960527,0,0,1,1,0,0,1
1021000610,1020006,667.624572753906,1,1,96806.80896063794,96806.80896063794,0,0,1,1,0,0,1
1021000612,1020006,825.183349609375,1,1,241210.1467122921,241210.1467122921,0,0,1,1,0,0,1
1021000701,1020007,920.441162109375,1,1,335004.09494435904,335004.09494435904,0,0,1,1,0,0,1
1021000702,1020007,807.049865722656,1,1,144848.7675175847,140165.15169837564,4683.61581920904,0,1,0.9676654769006546,0.0323345230993453,0,0.9999999999999999
1021000703,NA,3880.43701171875,1,1,38461.45236469504,38461.45236469504,0,0,1,1,0,0,1
1021000705,1020007,1411.06799316406,1,1,54270.902792232664,54270.902792232664,0,0,1,1,0,0,1
1021000710,1020007,1411.06799316406,1,1,368628.30933270237,321914.39180692914,0,46713.9175257732,1,0.8732763698742085,0,0.1267236301257914,1
1021000711,1020007,1409.08666992188,1,1,96226.05339757423,96226.05339757423,0,0,1,1,0,0,1
1021000805,1020008,2143.06176757813,1,1,2475.438596491228,2475.438596491228,0,0,1,1,0,0,1
1021000811,1020008,1003.32250976563,1,1,134957.86388251648,134957.86388251648,0,0,1,1,0,0,1
1021000906,NA,906.749938964844,1,1,118348.8139627972,118348.8139627972,0,0,1,1,0,0,1
1021001003,1020010,831.695739746094,1,1,92550.83743092376,92550.83743092376,0,0,1,1,0,0,1
1021001004,1020010,2055.9501953125,1,1,102016.05216644942,101204.32802851837,0,811.7241379310345,1,0.9920431724155858,0,0.00795682758441412,0.9999999999999999
1021001007,1020010,1663.39147949219,1,1,91295.26716840366,91295.26716840366,0,0,1,1,0,0,1
1021001011,1020010,3151.8427734375,1,1,57909.19532135794,53669.31951003214,0,4239.875811325795,1,0.9267840661954068,0,0.0732159338045931,0.9999999999999999
1021001102,1020011,2959.87060546875,1,1,3713.157894736842,0,0,3713.157894736842,1,0,0,1,1
1021001105,1020011,1183.9482421875,1,1,13209.534883720931,13209.534883720931,0,0,1,1,0,0,1
1021001107,1020011,772.290710449219,1,1,161155.65237615784,136593.69638593777,24561.95599022005,0,1,0.8475886161728331,0.15241138382716674,0,0.9999999999999998
1021001109,1020011,881.315368652344,1,1,89371.996414876965,48315.63513956803,38137.03398885327,2919.3272864556584,1,0.5406126871697068,0.4267224132693195,0.03266489956097371,1
1021001110,1020011,369.009063720703,1,1,75455.71419190387,75455.71419190387,0,0,1,1,0,0,1
1021001202,NA,1163.376953125,1,11,115847.98731069926,115847.98731069926,0,0,1,1,0,0,1
1021001205,1020012,1163.376953125,1,1,116176.77083326361,116176.77083326361,0,0,1,1,0,0,1
1021001206,1020012,1517.74401855469,1,1,163016.97766059107,163016.97766059107,0,0,1,1,0,0,1
1021001208,1020012,758.872009277344,1,1,167621.08517308216,167621.08517308216,0,0,1,1,0,0,1
1021001210,1020012,758.872009277344,1,1,137824.99808581336,114941.82840996076,0,22883.1696758526,1,0.8339693815079543,0,0.16603061849204565,1
1021001211,1020012,1163.376953125,1,1,85943.4079431795,85943.4079431795,0,0,1,1,0,0,1
