hh_g02,mean_market_price
201,17006.90984578885
202,17413.472532935622
203,15748.634619724668
204,6027.997971602434
205,6459.1452991453
206,10107.337883959044
207,6384.800325998371
208,9367.256985438804
209,2906.2165058949627
301,39236.11111111111
302,4486.165577342048
303,6969.532514779446
304,24523.809523809523
305,11114.137483787288
306,3142.857142857143
401,18882.352941176472
402,4974.045801526718
403,137037.03703703705
404,61031.25
405,9870.37037037037
406,3125000
407,630694.4444444444
408,110000
409,28210.104529616725
410,25904.761904761905
411,7261.382113821139
501,1166.6666666666667
505,24388.88888888889
506,8805.555555555557
601,211666.04568165596
602,267066.94444444444
603,14183.759373394967
604,24330.65402094448
605,62254.625
701,151619.0476190476
702,24814.814814814814
703,12458.333333333334
