hh_g02,mean_market_price
301,63046
302,73892.4107179411
303,44536.490683229815
304,24597.549019607843
305,14692.775257269106
306,45843.58009708738
307,29731.8125
308,3625.6192655830955
309,18777.421900734436
310,12525.113647506094
311,8145.098039215686
451,407.12556864530666
452,12076.310952903168
453,3010.092723149866
454,2656.99534318688
455,3235.0177893022974
456,20397.46153846154
457,1837.6456628866808
458,7987.047619047618
459,8071.428571428572
461,15680.603448275862
462,125854.41176470587
463,24011.666666666664
464,48269.230769230766
465,14466.269898264512
466,2000
467,12327.321428571428
468,3137.402953586498
469,51681.818181818184
501,60735.71428571429
502,23980.48419329208
503,54176.971153846156
504,22816.666666666668
601,3713.7254901960787
602,25750
603,91590.90909090909
604,5756.869159731348
605,99000
