case_id,ea_id,wgt11,urban,regionXurban,total_consumption_food,purchases,home_prod,gifts_and_other,tot_consump_weekly_non_durab,tot_consump_weekly_durab,TOT_consumption,food_percentage,non_durable_percentage,durable_percentage,total_percentage_test,number_adults,total_consumption_capita,total_consumption_food_per_capita,total_consumption_non_durab_per_capita,total_consumption_durab_per_capita,category_quantile
1013000201,10130002,1329.5159912109375,0,10,62062.99808668991,25174.0742291275,0,36888.92385756242,25062.38527651925,3124.911041354443,90250.29440456361,68.76764058905012,27.76986539697309,3.462494013976788,100,5.1,17696.136157757574,12169.21531111567,4914.193191474363,612.7276551675379,2
1013000204,10130002,2659.031982421875,0,10,50002.85741537776,30331.47497911713,19671.382436260625,0,29491.346110344897,7147.890218495948,86642.09374421861,57.71196799905855,34.03812723802369,8.249904762917744,100,3,28880.697914739536,16667.619138459253,9830.448703448299,2382.6300728319825,1
1013000206,10130002,891.62249755859375,0,10,67802.52654184456,67802.52654184456,0,0,60079.21690462463,1210.0171595052307,129091.76060597441,52.52273748810165,46.53993145852574,0.9373310533726121,100,3,43030.58686865814,22600.842180614854,20026.405634874875,403.3390531684102,3
1021000108,10210001,976.03643798828125,1,11,71006.96624962513,71006.96624962511,0,0,84833.31319315308,7083.915278837404,162924.1947216156,43.582824743097795,52.06919287715713,4.347982379745076,100,5.2,31331.575908003,13655.1858172356,16314.098690990977,1362.2913997764238,4
1021000111,10210001,478.2242736816406,1,11,201547.10807125058,201547.10807125058,0,0,71101.96118579905,8688.067679543748,281337.1369365934,71.63899877060113,25.27286726523549,3.0881339641633696,100,9,31259.68188184371,22394.12311902784,7900.2179095332285,965.3408532826387,4
1021000113,10210001,265.7405700683594,1,11,112919.24229273575,112919.24229273575,0,0,25015.537768741182,5991.905393681809,143926.68545515876,78.4560847320537,17.380750268535103,4.163164999411192,100,7.1,20271.36414861391,15904.118632779684,3523.315178695941,843.930337138283,3
1021000201,10210002,1604.7392578125,1,11,68603.95354285857,68603.95354285857,0,0,47191.73755344713,6114.353612402422,121910.04470870813,56.27424196815026,38.710294681793506,5.015463350056232,100,5.3,23001.895228058136,12944.142177897844,8904.101425178704,1153.651624981589,3
1021000203,10210002,5807.35888671875,1,11,95189.1960266116,95189.1960266116,0,0,22870.904165542113,7358.953947352433,125419.05413950613,75.89691748171752,18.235589737506988,5.867492780775496,100,5.5,22803.464389001114,17307.12655029302,4158.346211916748,1337.9916267913513,3
1021000207,10210002,774.28118896484375,1,11,119533.33169585618,119533.33169585618,0,0,34938.62515248046,6504.932074474804,160976.88892281143,74.25496448323865,21.70412497487982,4.040910541881527,100,3.7,43507.267276435516,32306.30586374491,9442.871662832556,1758.089749858055,4
1021000212,10210002,3229.330322265625,1,11,93385.88213898499,80941.43769454055,0,12444.444444444443,50000.98305063795,7065.430155697296,150452.29534532025,62.07009466000128,33.233778810668845,4.696126529329859,100,2.3,65414.04145448707,40602.55745173261,21739.557848103457,3071.9261546509983,4
1021000213,10210002,1780.902099609375,1,11,86703.51472312999,86703.51472312999,0,0,56453.29631015275,7239.429988988988,150396.24102227174,57.65005437223017,37.53637453065914,4.81357109711068,100,4,37599.060255567936,21675.878680782498,14113.324077538187,1809.857497247247,4
1021000312,10210003,815.8468017578125,1,11,91417.44311650148,91417.44311650148,0,0,29970.52427594587,7681.998970575046,129069.9663630224,70.82781974187598,23.220370408752355,5.951809849371653,100,4,32267.4915907556,22854.36077912537,7492.631068986468,1920.4997426437615,3
1021000313,10210003,3074.760986328125,1,11,53676.438928827556,53676.438928827556,0,0,37430.68064214789,635.6046772530377,91742.72424822848,58.507570348134756,40.7996175706224,0.692812081242847,100,1,91742.72424822848,53676.438928827556,37430.68064214789,635.6046772530377,2
1021000401,10210004,2595.420166015625,1,11,3713.157894736842,3713.157894736842,0,0,27222.708185195545,0,30935.866079932388,12.002760437166197,87.9972395628338,0,100,1,30935.866079932388,3713.157894736842,27222.708185195545,0,1
1021000402,10210004,648.85504150390625,1,11,70080.64295139012,70080.64295139012,0,0,46596.82978103376,7965.29131324546,124642.76404566935,56.22519966398727,37.38430396485799,6.390496371154736,100,2.4,51934.4850190289,29200.26789641255,19415.3457420974,3318.871380518942,3
1021000405,10210004,4758.2705078125,1,11,70507.83216155166,58141.97850301507,12365.853658536585,0,46392.74394649114,1629.4201482493052,118529.9962562921,59.48522263435809,39.1400872452389,1.37469012040301,99.99999999999999,2.6,45588.46009857388,27118.396985212177,17843.363056342743,626.7000570189635,3
1021000503,10210005,654.26025390625,1,11,25603.60030309361,25603.60030309361,0,0,58715.849786995685,938.0798150331121,85257.52990512241,30.030896193668998,68.86881411218077,1.1002896941502298,99.99999999999999,1.9,44872.384160590744,13475.579106891375,30903.078835260887,493.7262184384801,1
1021000504,10210005,366.49267578125,1,11,41097.189120408235,41097.189120408235,0,0,44089.712550064105,456.40520790255835,85643.30687837489,47.98645757428753,51.480628384279314,0.5329140414331685,100,6.4,13381.766699746076,6421.435800063787,6889.017585947516,71.31331373477474,1
1021000506,10210005,732.9853515625,1,11,92668.94713393108,92668.9471339311,0,0,32129.78193348142,7505.720107714377,132304.44917512688,70.04220017670636,24.284732776410507,5.6730670468831415,100,4.2,31501.05932741116,22064.035031888354,7649.9480794003375,1787.0762161224707,3
1021000604,10210006,802.794677734375,1,11,98574.88201956234,98574.88201956234,0,0,35169.244986172744,6667.419346869695,140411.54635260478,70.20425640211866,25.047259929646316,4.748483668235028,100,5.5,25529.37206410996,17922.705821738607,6394.408179304135,1212.2580630672173,3
