hh_g02,avg_market_p
101,9342.783505154639
102,2659.0163934426228
103,1977.7777777777778
104,5333.333333333333
105,2067.3972602739727
106,3400
107,1427.536312849162
108,3788.4708333333333
109,2434.567901234568
110,3032.543103448276
111,1045
112,866.6666666666666
113,1754.4254278728606
114,1765.2094240837696
115,1692.1875
116,1375.5474452554745
117,6949.658002735978
118,6002.877697841726
119,8479.6
120,3062.5
121,12365.853658536585
122,3278.5637393767706
123,2720.3874538745386
124,979.6052631578947
125,784.697217675941
126,14750
127,1154.1178623718888
128,4825.324675324675
129,2904.794520547945
130,1353.1847133757963
131,1442.0168067226891
132,597.7064220183486
133,830.5309734513274
134,685.2941176470588
135,599.2824527071102
136,691.4490223463687
137,884.629258517034
138,405.86206896551727
139,363.5869565217391
140,1323.7704918032787
141,1459.7452229299363
142,2392.553191489362
143,1888.6363636363637
144,2705.3684210526317
145,2074.074074074074
146,966.4285714285714
147,3308.8746223564954
148,283.68055555555554
149,277.51447178002894
150,447.2713936430318
151,1764.5833333333333
152,2176.4044943820227
153,1170.90395480226
154,1161.5384615384614
155,399.38235294117646
156,323.46153846153845
157,NA
158,1237.719298245614
159,2641.906976744186
160,NA
161,NA
162,1351.3636363636363
163,1652.7777777777778
164,403.6885245901639
165,1319.7802197802198
166,376.64285714285717
167,767.6470588235294
168,444.8019801980198
169,1791.6666666666667
170,1223.3050847457628
171,729.6296296296297
