case_id,ea_id,wgt10,urban,regionXurban,total_consumption_annual,total_consumption_weekly
1013000201,1010002,3622.02563476563,0,10,82098.3147952409,1574.4881426765028
1013000204,1010002,3528.3916015625,0,10,50169.01699844914,962.1454787568066
1013000206,1010002,2735.64892578125,1,11,55324.35225936462,1061.014916699326
1021000108,1020001,1350.81335449219,1,11,367148.52705974237,7041.204242723594
1021000111,1020001,1405.30773925781,1,11,419600.0359540338,8047.123536262372
1021000113,1020001,746.928955078125,1,11,406949.82757477654,7804.516813515342
1021000201,1020002,4510.3125,1,11,340444.0376949134,6529.06337885788
1021000203,1020002,6022.107421875,1,11,406949.54145962273,7804.511326375706
1021000207,1020002,2386.52319335938,1,11,350749.37997500703,6726.700069290542
1021000212,1020002,6022.107421875,1,11,351237.2601991917,6736.056675817009
1021000213,1020002,4965.599609375,1,11,384384.1563574842,7371.750539910626
1021000312,1020003,1870.91235351563,1,11,451094.0207867253,8651.117732834855
1021000313,1020003,3745.5546875,1,11,23034.907817391286,441.76533119570513
1021000401,1020004,3850.17041015625,1,11,58214.54486178746,1116.4432649414985
1021000402,1020004,1809.169921875,1,11,108282.19052280705,2076.644635963717
1021000405,1020004,6022.107421875,1,11,105114.12596554124,2015.887236824778
1021000503,1020005,1941.12170410156,1,11,61375.634373989524,1177.0668961002432
1021000504,1020005,532.312927246094,1,11,267497.3916337623,5130.086681738637
1021000506,1020005,532.312927246094,1,11,357041.23818737234,6847.365836614492
1021000604,1020006,1198.74084472656,1,11,329821.92817512294,6325.351700599525
1021000607,1020006,1684.44506835938,1,11,173193.75181364498,3321.523825383667
1021000610,1020006,706.520263671875,1,11,401461.02675622265,7699.252146050728
1021000612,1020006,980.984252929688,1,11,404847.0892797176,7764.190327874566
1021000701,1020007,1227.20202636719,1,11,95485.08797937253,1831.2207650169655
1021000702,1020007,819.294372558594,1,11,429671.13128583936,8240.267819713752
1021000703,1020007,1967.37316894531,1,11,27114.247729747894,519.9992430363025
1021000705,1020007,1164.33569335938,1,11,33135.47871885219,635.4748995136091
1021000710,1020007,1033.99523925781,1,11,72689.15318000899,1394.0384777514887
1021000711,1020007,1407.00939941406,1,11,581290.1789048869,11148.03021746193
1021000805,1020008,2857.29248046875,1,11,23441.470504538054,449.56242339867924
1021000811,1020008,1060.20922851563,1,11,442037.5591706031,8477.432177111174
1021000906,1020009,1739.49560546875,1,11,328183.7186957201,6293.933986277701
1021001003,1020010,936.542236328125,1,11,333479.6059654005,6395.4989420488355
1021001004,1020010,2741.14916992188,1,11,331059.2201948845,6349.080587349534
1021001007,1020010,2301.77685546875,1,11,593858.5644681522,11389.067735604687
1021001011,1020010,4196.806640625,1,11,368318.7810548723,7063.647468797691
1021001102,1020011,2421.603515625,1,11,372591.6030712927,7145.591996129339
1021001105,1020011,1576.47521972656,1,11,81176.23771532053,1556.8044736196007
1021001107,1020011,837.905456542969,1,11,599610.8752537351,11499.386018598427
1021001109,1020011,465.642181396484,1,11,442818.5234833802,8492.409574069781
1021001110,1020011,537.691589355469,1,11,118146.7770024862,2265.8284758926957
1021001202,1020012,1375.67321777344,1,11,348800.27595438826,6689.319994231008
1021001205,1020012,1405.46020507813,1,11,102333.91364066914,1962.5680992693754
1021001206,1020012,2359.318359375,1,11,415025.87876139715,7959.399978470632
1021001208,1020012,1179.6591796875,1,11,45993.68439896703,882.0706113735808
1021001210,1020012,902.15283203125,1,11,312025.1118964458,5984.042913956883
1021001211,1020012,1903.62219238281,1,11,86384.00723211975,1656.6794999760227
1021001301,1020013,2841.72412109375,1,11,41821.724660603664,802.0604289945674
1021001302,1020013,2841.72412109375,1,11,32732.48733643139,627.7462980824487
1021001304,1020013,1274.90185546875,1,11,431070.975792217,8267.114151241743
1021001305,1020013,3023.79614257813,1,11,61352.35023096705,1176.6203509160612
1021001306,1020013,3214.32885742188,1,11,371456.5864240519,7123.824554772253
