id_hh,wgt10,comm,urban,regurb,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5,ind_read,ind_write,ind_literacy,ind_any_schooling,ind_education,ind_education_years
1013000201,3622.02563476563,1010002,0,10,101300020101,0,1,45,2,7,3,0,2,2,2,1,1,NA
1013000201,3622.02563476563,1010002,0,10,101300020102,0,5,29,2,7,3,0,1,1,1,1,3,NA
1013000201,3622.02563476563,1010002,0,10,101300020103,1,5,18,3,7,3,0,1,1,1,1,1,NA
1013000201,3622.02563476563,1010002,0,10,101300020104,1,3,11,3,7,3,0,NA,NA,NA,NA,NA,NA
1013000201,3622.02563476563,1010002,0,10,101300020105,1,3,10,NA,7,3,0,NA,NA,NA,NA,NA,NA
1013000201,3622.02563476563,1010002,0,10,101300020106,1,5,6,NA,7,3,0,NA,NA,NA,NA,NA,NA
1013000201,3622.02563476563,1010002,0,10,101300020107,0,5,18,2,7,3,0,NA,NA,NA,NA,NA,NA
1013000204,3528.3916015625,1010002,0,10,101300020401,1,1,34,1,5,3,2,NA,NA,NA,NA,NA,NA
1013000204,3528.3916015625,1010002,0,10,101300020402,0,2,32,1,5,3,2,NA,NA,NA,NA,NA,NA
1013000204,3528.3916015625,1010002,0,10,101300020403,0,3,6,3,5,3,2,NA,NA,NA,NA,NA,NA
1013000204,3528.3916015625,1010002,0,10,101300020404,0,3,2,3,5,3,2,NA,NA,NA,NA,NA,NA
1013000204,3528.3916015625,1010002,0,10,101300020405,0,3,1,3,5,3,2,NA,NA,NA,NA,NA,NA
1013000206,2735.64892578125,1010002,1,11,101300020601,1,1,31,1,3,0,0,1,1,1,1,1,NA
1013000206,2735.64892578125,1010002,1,11,101300020602,1,5,23,3,3,0,0,NA,NA,NA,NA,NA,NA
1013000206,2735.64892578125,1010002,1,11,101300020603,1,5,24,3,3,0,0,1,1,1,1,2,NA
1021000108,1350.81335449219,1020001,1,11,102100010801,1,1,70,1,6,0,0,1,1,1,1,4,NA
1021000108,1350.81335449219,1020001,1,11,102100010802,0,2,60,1,6,0,0,1,1,1,1,2,NA
1021000108,1350.81335449219,1020001,1,11,102100010803,0,3,25,3,6,0,0,1,1,1,1,5,NA
1021000108,1350.81335449219,1020001,1,11,102100010804,1,3,23,3,6,0,0,1,1,1,1,NA,12
1021000108,1350.81335449219,1020001,1,11,102100010805,1,3,20,3,6,0,0,1,1,1,1,NA,12
1021000108,1350.81335449219,1020001,1,11,102100010806,0,3,17,3,6,0,0,1,1,1,1,NA,12
1021000111,1405.30773925781,1020001,1,11,102100011101,1,1,48,2,10,1,0,1,1,1,1,5,NA
1021000111,1405.30773925781,1020001,1,11,102100011102,0,3,18,3,10,1,0,1,1,1,1,NA,11
1021000111,1405.30773925781,1020001,1,11,102100011103,1,3,17,3,10,1,0,1,1,1,1,NA,9
1021000111,1405.30773925781,1020001,1,11,102100011104,1,3,14,3,10,1,0,1,1,1,1,NA,5
1021000111,1405.30773925781,1020001,1,11,102100011105,0,3,NA,NA,10,1,0,NA,NA,NA,NA,NA,NA
1021000111,1405.30773925781,1020001,1,11,102100011106,1,5,22,3,10,1,0,1,1,1,1,4,NA
1021000111,1405.30773925781,1020001,1,11,102100011107,0,5,NA,3,10,1,0,NA,NA,NA,NA,NA,NA
1021000111,1405.30773925781,1020001,1,11,102100011108,1,5,20,3,10,1,0,1,1,1,1,NA,12
1021000111,1405.30773925781,1020001,1,11,102100011109,1,5,16,3,10,1,0,1,1,1,1,NA,9
1021000111,1405.30773925781,1020001,1,11,102100011110,1,5,18,3,10,1,0,1,1,1,1,NA,9
1021000113,746.928955078125,1020001,1,11,102100011301,1,1,48,2,10,3,0,1,1,1,1,4,NA
1021000113,746.928955078125,1020001,1,11,102100011302,0,2,NA,1,10,3,0,NA,NA,NA,NA,NA,NA
1021000113,746.928955078125,1020001,1,11,102100011303,1,3,21,3,10,3,0,1,1,1,1,NA,15
1021000113,746.928955078125,1020001,1,11,102100011304,1,3,16,3,10,3,0,1,1,1,1,NA,9
1021000113,746.928955078125,1020001,1,11,102100011305,0,3,13,3,10,3,0,1,1,1,1,NA,7
1021000113,746.928955078125,1020001,1,11,102100011306,1,3,11,3,10,3,0,1,1,1,1,NA,4
1021000113,746.928955078125,1020001,1,11,102100011307,1,3,6,3,10,3,0,1,1,1,1,NA,0
1021000113,746.928955078125,1020001,1,11,102100011308,0,5,18,3,10,3,0,1,1,1,1,NA,11
1021000113,746.928955078125,1020001,1,11,102100011309,0,5,NA,3,10,3,0,NA,NA,NA,NA,NA,NA
1021000113,746.928955078125,1020001,1,11,102100011310,0,5,19,3,10,3,0,2,2,2,1,1,NA
1021000201,4510.3125,1020002,1,11,102100020101,1,1,42,1,6,2,1,1,1,1,1,1,NA
1021000201,4510.3125,1020002,1,11,102100020102,0,2,40,1,6,2,1,1,1,1,1,1,NA
1021000201,4510.3125,1020002,1,11,102100020103,1,3,15,3,6,2,1,1,1,1,1,NA,7
1021000201,4510.3125,1020002,1,11,102100020104,0,3,11,3,6,2,1,1,1,1,1,NA,4
1021000201,4510.3125,1020002,1,11,102100020105,0,5,17,3,6,2,1,1,1,1,1,1,NA
